sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos
give me the pencil !,give,give,VB,pencil,me,NN,PRP
you give me the pencil ?,give,give,VBP,pencil,me,NN,PRP
you give me the pencils .,give,give,VBP,pencils,me,NNS,PRP
give me the crayons ?,give,give,VB,crayons,me,NNS,PRP
give me the crayons ?,give,give,VB,crayons,me,NNS,PRP
you give me the crayons !,give,give,VBP,crayons,me,NNS,PRP
eve give me the pegs .,give,give,VB,pegs,me,NNS,PRP
you give me the pencils .,give,give,VBP,pencils,me,NNS,PRP
eve give fraser two pencils .,give,give,VB,pencils,fraser,NNS,NNP
we'll give him a rest .,give,give,VB,rest,him,NN,PRP
give me the dog's cup ?,give,give,VB,cup,me,NN,PRP
give me the papa's boy !,give,give,VB,boy,me,NN,PRP
give me the papa's boy ?,give,give,VB,boy,me,NN,PRP
i'll give you the duck !,give,give,VB,duck,you,NN,PRP
he'll bring you something again next year ?,bring,bring,VB,something,you,NN,PRP
can you give me milk in the cup ?,give,give,VB,milk,me,NN,PRP
you're not gonna show me the hammer .,show,show,VB,hammer,me,NN,PRP
can you bring me the cups ?,bring,bring,VB,cups,me,NNS,PRP
we gave gigi flowers ?,give,gave,VBD,flowers,gigi,NNS,NNP
can you give mommy a kiss ?,give,give,VB,kiss,mommy,NN,NN
come on give me the skin .,give,give,VB,skin,me,NN,PRP
nanna gave you one ?,give,gave,VBD,one,you,NN,PRP
she gave you a different kind !,give,gave,VBD,kind,you,NN,PRP
okay you read him the book ?,read,read,VBD,book,him,NN,PRP
uncle mike told me he read you a story about a snow man ?,read,read,VBD,story,you,NN,PRP
we didn't feed the dragon anything !,feed,feed,VB,anything,dragon,NN,NN
can tell her the colors of the balloons ?,tell,tell,VB,colors,her,NNS,PRP
what'd you feed your dog ?,feed,feed,VB,dog,what,NN,WP
where are the sneakers show me the sneakers here ?,show,show,VB,sneakers,me,NNS,PRP
give me your finger ?,give,give,VB,finger,me,NN,PRP
when you're bigger and have more teeth we'll give you some ?,give,give,VB,you,teeth,PRP,NNS
i gave him a bone today .,give,gave,VBD,bone,him,NN,PRP
i gave him a bone .,give,gave,VBD,bone,him,NN,PRP
i gave him a red bone at school ?,give,gave,VBD,bone,him,NN,PRP
give me kiss ?,give,give,VB,kiss,me,NN,PRP
give you good bite of it .,give,give,VB,bite,you,NN,PRP
you know what i made you for breakfast .,make,made,VBD,you,what,PRP,WP
oh gonna give you your bath .,give,give,VB,bath,you,NN,PRP
let us give you bath .,give,give,VB,bath,you,NN,PRP
and then we'll give you breakfast .,give,give,VB,breakfast,you,NN,PRP
i'm gonna give you the roosky hooey .,give,give,VB,hooey,you,NN,PRP
daddy made you good lunch for school today .,make,made,VBD,lunch,you,NN,PRP
daddy made you peanut butter and jelly sandwich .,make,made,VBD,sandwich,you,NN,PRP
show me your hand yes this is billy barlow .,show,show,VB,hand,me,NN,PRP
can i give you a kiss .,give,give,VB,kiss,you,NN,PRP
yes i'll give you a baby spoon .,give,give,VB,spoon,you,NN,PRP
well i'll tell you what i'll forward it .,forward,forward,VB,it,what,PRP,WP
here i give her a little bowl .,give,give,VBP,bowl,her,NN,PRP
give daddy give daddy the cup .,give,give,VB,cup,daddy,NN,NNP
listen give me a kiss .,give,give,VB,kiss,me,NN,PRP
give me a kiss ?,give,give,VB,kiss,me,NN,PRP
come give me a kiss !,give,give,VB,kiss,me,NN,PRP
oh couldju give mommy a new crayon please .,give,give,VB,crayon,mommy,NN,NN
here you have that one back and you can give me dandelion and brown .,give,give,VB,dandelion,me,NN,PRP
we'll give him fancy socks .,give,give,VB,socks,him,NNS,PRP
let me show you this though look .,show,show,VB,this,you,DT,PRP
can i show you two .,show,show,VB,two,you,CD,PRP
give me the apple .,give,give,VB,apple,me,NN,PRP
what give me these ?,give,give,VBP,these,me,DT,PRP
eat your egg that mommy made you .,make,made,VBD,you,that,PRP,WDT
would you bring me that toast laura .,bring,bring,VB,toast,me,NN,PRP
i can't give keep giving you pens .,give,giving,VBG,pens,you,NNS,PRP
and then phoebe my niece decided when when lily was born that she was too old for her floppy since lily left it it was a baby toy so she gave her her floppy ?,give,gave,VBD,floppy,her,NN,PRP
did she give you baby elmo .,give,give,VB,elmo,you,NNP,PRP
and did she give you baby ernie .,give,give,VB,ernie,you,NNP,PRP
did she give you apple man .,give,give,VB,apple,you,NN,PRP
and did she give you your key chains ?,give,give,VB,chains,you,NNS,PRP
what did you give zoe ?,give,give,VB,zoe,what,NNP,WP
you gave zoe a treat what kind of treat !,give,gave,VBD,treat,zoe,NN,NNP
show manuela the mouse she can't see it .,show,show,VB,mouse,manuela,NN,NNP
my mom sent us these .,send,sent,VBD,these,us,DT,PRP
a treat were we at gabby's house last night and you gave zoe a treat .,give,gave,VBD,treat,zoe,NN,NNP
show me the mommy .,show,show,VB,mommy,me,NN,PRP
show me some toys the baby has nomi .,show,show,VB,toys,me,NNS,PRP
show me some toys .,show,show,VB,toys,me,NNS,PRP
show me some toys ?,show,show,VB,toys,me,NNS,PRP
that will make a beautiful shadow honey .,make,make,VB,honey,shadow,NN,NN
then when we get up give nomi a bath and wash her hair .,give,give,VB,bath,nomi,NN,NNP
give me a kiss .,give,give,VB,kiss,me,NN,PRP
i'm gonna put you on your pottie chair and feed you your oatmeal .,feed,feed,VB,oatmeal,you,NN,PRP
we'll feed you a bunch of oatmeal and you'll toot .,feed,feed,VB,bunch,you,NN,PRP
listen give daddy a kiss .,give,give,VB,kiss,daddy,NN,NN
i'll find you one that is rough and then you can see the difference .,find,find,VB,one,you,NN,PRP
well what do you want turkey ?,want,want,VB,turkey,what,NN,WP
give me the flower .,give,give,VB,flower,me,NN,PRP
i brought you some more tools .,bring,brought,VBD,tools,you,NNS,PRP
oh yeah it looks a little bit like a baseball bat but you need a ball take a piece for the ball there's the bat you hold on i'm gonna throw you the ball i'm gonna pitch ready bong home run .,throw,throw,VB,ball,you,NN,PRP
and tell you i love you my little swamp creature ?,tell,tell,VB,you,you,PRP,PRP
what do you want sweets you want the box ?,want,want,VB,sweets,what,NNS,WP
give baby some coffee .,give,give,VB,coffee,baby,NN,NN
give baby some coffee ?,give,give,VB,coffee,baby,NN,NN
give him some coffee and wake him up .,give,give,VB,coffee,him,NN,PRP
could you feed sandy with a spoon honey .,feed,feed,VB,honey,sandy,NN,NNP
could you feed sandy with a spoon honey .,feed,feed,VB,honey,sandy,NN,NNP
give the animals some coffee honey .,give,give,VB,honey,animals,NN,NNS
now let's see if i can give you a wheel would you like a wheel ?,give,give,VB,wheel,you,NN,PRP
throw it you playing golf ?,throw,throw,VB,you,it,PRP,PRP
you're showing mama everything aren't you ?,show,showing,VBG,everything,mama,NN,NN
why don't you give patsy her pencil ?,give,give,VB,pencil,patsy,NN,NNP
why don't you give patsy the tape ?,give,give,VB,tape,patsy,NN,NNP
did you show mommy the dog ?,show,show,VB,dog,mommy,NN,NN
did you show mommy the dog ?,show,show,VB,dog,mommy,NN,NN
mhm give me some more .,give,give,VB,more,me,JJR,PRP
let's make a big tunnel give me some big blocks .,give,give,VB,blocks,me,NNS,PRP
why don't you give me that piece with the dolphin's body ?,give,give,VB,piece,me,NN,PRP
and now we need a c can you find me a c .,find,find,VB,me,c,PRP,NN
ruby gives him his walkie talkie teddy bear .,give,gives,VBZ,bear,him,NNP,PRP
i gave you some wheat .,give,gave,VBD,wheat,you,NN,PRP
you giving me the spoon too ?,give,giving,VBG,spoon,me,NN,PRP
let's clean up a little and then i'll give you some cheese okay .,give,give,VB,cheese,you,NN,PRP
now i'll make you a slice .,make,make,VB,slice,you,NN,PRP
oh you wanna lie down while i give you your milk is that what it is .,give,give,VBP,milk,you,NN,PRP
so that i can give you your milk .,give,give,VB,milk,you,NN,PRP
he played one he played knick knack on my thumb with a knick knack paddy whack give the dog a bone .,give,give,VB,bone,dog,NN,NN
let's show manuela what we can do .,show,show,VB,manuela,'s,NNP,PRP
how about if i show you some pictures ?,show,show,VBP,pictures,you,NNS,PRP
you're gonna leave without giving mommy kisses .,give,giving,VBG,kisses,mommy,NNS,NN
who's in your class william can you tell me the names of the people the kids in your class ?,tell,tell,VB,names,me,NNS,PRP
can you tell me their names ?,tell,tell,VB,names,me,NNS,PRP
you wanna give sarah a hug ?,give,give,VB,hug,sarah,NN,NNP
give me car .,give,give,VB,car,me,NN,PRP
you just find you one ?,find,find,VB,one,you,CD,PRP
hand me the airplane the big airplane ?,hand,hand,VB,airplane,me,NN,PRP
okay wait a minute let me show you the right button listen now .,show,show,VB,button,you,NN,PRP
can't give you that you got ta pay for it .,give,give,VB,that,you,DT,PRP
travis give her some money ?,give,give,VB,money,her,NN,PRP
give me a yellow one .,give,give,VB,one,me,NN,PRP
give me my ice cream .,give,give,VB,cream,me,NN,PRP
give me my ice cream .,give,give,VB,cream,me,NN,PRP
give me that .,give,give,VB,that,me,DT,PRP
give me that balloon .,give,give,VB,balloon,me,NN,PRP
give me some more money .,give,give,VB,money,me,NN,PRP
give me that .,give,give,VB,that,me,DT,PRP
she brings them their food and drink ?,bring,brings,VBZ,food,them,NN,PRP
hand me the cash register .,hand,hand,VB,register,me,NN,PRP
give me them ?,give,give,VB,them,me,PRP,PRP
give me some of those ?,give,give,VB,some,me,DT,PRP
diplodocus will save him give him a ride .,give,give,VB,ride,him,NN,PRP
give me another dinosaur ?,give,give,VB,dinosaur,me,NN,PRP
here give him a chicken nugget .,give,give,VB,nugget,him,NN,PRP
give them a chicken nugget .,give,give,VB,nugget,them,NN,PRP
give them these two chicken nuggets .,give,give,VB,nuggets,them,NNS,PRP
give me it .,give,give,VB,it,me,PRP,PRP
give me that .,give,give,VB,that,me,DT,PRP
now give daddy your toothbrush .,give,give,VB,toothbrush,daddy,NN,NN
but you better give me kiss .,give,give,VBP,kiss,me,NN,PRP
you know what daddy wants to do is give you a bath ?,give,give,VB,bath,you,NN,PRP
give you a nice bath .,give,give,VB,bath,you,NN,PRP
show daddy the big spoon .,show,show,VB,spoon,daddy,NN,NN
show daddy the little spoon !,show,show,VB,spoon,daddy,NN,NN
let's read him a book ?,read,read,VB,book,him,NN,PRP
which i got and have given her and i've also given her more motrin .,give,given,VBN,her,which,PRP,WDT
what does what does a koala bear say ?,say,say,VB,what,what,WP,WP
can you give me that can you give me that naima bring me the back pack please ?,give,give,VB,that,me,DT,PRP
he's having a massage naima is giving him a massage with the rake .,give,giving,VBG,him,massage,PRP,NN
oh did you give the turkey a massage .,give,give,VB,massage,turkey,NN,NN
then mr fix it went home for supper after his wife kissed him she said will you please give little fix it his bottle while i am fixing supper mr fix it filled the baby's bottle with milk but he didn't know how to fix the nipple on top .,give,give,VB,bottle,it,NN,PRP
yep the market what are they selling at this market .,sell,selling,VBG,what,market,WP,NN
sergeant murphy is taking the pirates away the pirates .,take,taking,VBG,pirates,pirates,NNS,NNS
yeah he owns the restaurant that means he brings people the food ?,bring,brings,VBZ,food,people,NN,NNS
louie brought them a bowl of banana soup .,bring,brought,VBD,bowl,them,NN,PRP
i better give nomi a bib .,give,give,VBP,bib,nomi,NN,NNP
just give me a chance .,give,give,VB,chance,me,NN,PRP
let's find you some other clothes that you like better .,find,find,VB,clothes,you,NNS,PRP
give them a kiss .,give,give,VB,kiss,them,NN,PRP
hand me that one over there .,hand,hand,VB,one,me,NN,PRP
give laura her cereal please .,give,give,VB,cereal,laura,NN,NNP
can you say no dirty schmutz honey ?,say,say,VB,honey,schmutz,NN,NN
and what did you give gabby for her birthday .,give,give,VB,gabby,what,NNP,WP
did you give her a baby elmo .,give,give,VB,elmo,her,NNP,PRP
yes and what about baby passey we gave her the baby doll right .,give,gave,VBD,doll,her,NN,PRP
my mom sent her presents for hanukkah and we're opening the box and she individually wraps everything and .,send,sent,VBD,presents,her,NNS,PRP
she'll bring us mice and things that are nice said sarah i suppose so said percy ?,bring,bring,VB,mice,us,NNS,PRP
you finish this milk and i'll give you some more right away .,give,give,VB,more,you,JJR,PRP
well because i babysat for my one friends and she had it so i i read it the whole thing while i was there cause they were playin' .,read,read,VBD,thing,it,NN,PRP
arright give me the white .,give,give,VB,white,me,NN,PRP
look here i made you a bracelet ?,make,made,VBD,bracelet,you,NN,PRP
i can make you some of that uh mashed potatos really quick .,make,make,VB,some,you,DT,PRP
and daddy reads her a book .,read,reads,VBZ,book,her,NN,PRP
and read her a bedtime story .,read,read,VBD,story,her,NN,PRP
what did i tell you now ?,tell,tell,VB,you,what,PRP,WP
mama give me it .,give,give,VB,it,me,PRP,PRP
can you pass me your cup because this is very full ?,pass,pass,VB,cup,me,NN,PRP
oh daddy gave you a big mouthful .,give,gave,VBD,mouthful,you,NN,PRP
give daddy your hand .,give,give,VB,hand,daddy,NN,NNP
i'll give you the roosky hooey .,give,give,VB,hooey,you,NN,PRP
come let us show mommy something .,show,show,VB,something,mommy,NN,NN
i'll show you something ?,show,show,VB,something,you,NN,PRP
come show mommy the letters on this stone .,show,show,VB,letters,mommy,NNS,NN
i'll show you more up there .,show,show,VB,more,you,JJR,PRP
now give me your hand .,give,give,VB,hand,me,NN,PRP
give me your hand and i will help you ?,give,give,VB,hand,me,NN,PRP
when we get there i'll show you the juniper tree ?,show,show,VB,tree,you,NN,PRP
would you please sit down and i'll give you it .,give,give,VB,it,you,PRP,PRP
mommy mommy brought kim a necktie .,bring,brought,VBD,necktie,kim,NN,NNP
why doesn't he bring them some hummus .,bring,bring,VB,hummus,them,NN,PRP
wha' do you think .,think,think,VB,',wha,WP,WP
those little pieces that i gave you ?,give,gave,VBD,you,that,PRP,WDT
and gave him a hundred kisses .,give,gave,VBD,kisses,him,NNS,PRP
see that i gave you some water .,give,gave,VBD,water,you,NN,PRP
and who gave you a kiss this morning .,give,gave,VBD,kiss,you,NN,PRP
what furry animal gave you a kiss at toddler time ?,give,gave,VBD,kiss,you,NN,PRP
that furry animal who gave you a kiss .,give,gave,VBD,kiss,you,NN,PRP
he gave them some help .,give,gave,VBD,help,them,NN,PRP
he gave them some help ?,give,gave,VBD,help,them,NN,PRP
don't throw the horse clifford .,throw,throw,VB,clifford,horse,NN,NN
i'll give you some milk .,give,give,VB,milk,you,NN,PRP
are you gont show you new toys ?,show,show,VB,toys,you,NNS,PRP
shall we give the bunny some juice .,give,give,VB,juice,bunny,NN,NN
you giving the baby juice .,give,giving,VBG,juice,baby,NN,NN
shall we give the bear some juice ?,give,give,VB,juice,bear,NN,NN
shall we give the bear some juice ?,give,give,VB,juice,bear,NN,NN
shall we give the tiger some juice .,give,give,VB,juice,tiger,NN,NN
maybe i'd better give you some juice .,give,give,VB,juice,you,NN,PRP
are you giving me the bottle can i take the bottle home ?,give,giving,VBG,bottle,me,NN,PRP
show me nomi .,show,show,VB,nomi,me,NNP,PRP
can you tell julia a story ?,tell,tell,VB,story,julia,NN,NNP
you should give julia a bath .,give,give,VB,bath,julia,NN,NNP
you should give julia a bath in the bath tub .,give,give,VB,bath,julia,NN,NNP
wanna give me a hug .,give,give,VB,hug,me,NN,PRP
come here and give me a hug .,give,give,VB,hug,me,NN,PRP
give mama a hug ?,give,give,VB,hug,mama,NN,NN
show your mommy the picture you made .,show,show,VB,picture,mommy,NN,NN
give me two pencil .,give,give,VB,pencil,me,NN,PRP
give me two pencil .,give,give,VB,pencil,me,NN,PRP
that's what i was asking you .,ask,asking,VBG,you,what,PRP,WP
giving sarah some milk !,give,giving,VBG,milk,sarah,NN,NNP
who sent you that card ?,send,sent,VBD,card,you,NN,PRP
what do you want peanut butter or cheese ?,want,want,VB,butter,what,NN,WP
i'm gonna give you some soup .,give,give,VB,soup,you,NN,PRP
would you give me one with a hole in it .,give,give,VB,one,me,NN,PRP
give me a cookie with a hole in it .,give,give,VB,cookie,me,NN,PRP
you give me the dog's cup .,give,give,VBP,cup,me,NN,PRP
you give me the cup's dog ?,give,give,VBP,dog,me,NN,PRP
give me the cup's dog ?,give,give,VB,dog,me,NN,PRP
you gonna make him some coffee ?,make,make,VB,coffee,him,NN,PRP
could you give me a cup for my apple juice .,give,give,VB,cup,me,NN,PRP
more you're giving me ?,give,giving,VBG,me,more,PRP,JJR
can i give you a little kiss .,give,give,VB,kiss,you,NN,PRP
you wanna give the baby some more ?,give,give,VB,more,baby,JJR,NN
give me a hug laura .,give,give,VB,hug,me,NN,PRP
can you sing him rock a bye baby ?,sing,sing,VB,baby,him,NN,PRP
show me the baby's bottle ?,show,show,VB,bottle,me,NN,PRP
can you give the baby a bottle ?,give,give,VB,bottle,baby,NN,NN
are you gonna give the baby his bottle .,give,give,VB,bottle,baby,NN,NN
you cant give the baby the fish !,give,give,VB,fish,baby,NN,NN
we gave gigi flowers .,give,gave,VBD,flowers,gigi,NNS,NNP
give the bear a kiss .,give,give,VB,kiss,bear,NN,NN
do you wanna give the baby a kiss ?,give,give,VB,kiss,baby,NN,NN
you're gonna give grover a kiss .,give,give,VB,kiss,grover,NN,NNP
give grover a kiss .,give,give,VB,kiss,grover,NN,NNP
can you give mommy a kiss ?,give,give,VB,kiss,mommy,NN,NN
let me show you something ?,show,show,VB,something,you,NN,PRP
give him some raisins .,give,give,VB,raisins,him,NNS,PRP
yeah i think he was offering you some ?,offer,offering,VBG,some,you,DT,PRP
mommy's gonna make you soup do you wanna help me .,make,make,VB,soup,you,NN,PRP
i'll make you some soup ?,make,make,VB,soup,you,NN,PRP
your mom's making you your soup .,make,making,VBG,soup,you,NN,PRP
show me the blue one .,show,show,VB,one,me,NN,PRP
i just drop them because it gives him a feeling of .,give,gives,VBZ,feeling,him,NN,PRP
it gives him a sense of freedom ?,give,gives,VBZ,sense,him,NN,PRP
did you wanna show manuela your puzzle ?,show,show,VB,puzzle,manuela,NN,NNP
i don't hear you making any sound choo choo chuka chuka chuka chuka chuka chuka chuka .,make,making,VBG,chuka,sound,FW,NN
and baby bear told them his dream .,tell,told,VBD,dream,them,NN,PRP
whatever gave you the idea there was a dragon in the cellar asked papa bear ?,give,gave,VBD,idea,you,NN,PRP
will you show me the dragon ?,show,show,VB,dragon,me,NN,PRP
now we need can tadi give me an ais ?,give,give,VB,ais,me,NN,PRP
and then they throw me mulberry ?,throw,throw,VBP,mulberry,me,NN,PRP
can you tell me the colors on the crayons ?,tell,tell,VB,colors,me,NNS,PRP
can you find me something better than toast ?,find,find,VB,something,me,NN,PRP
i want some bananas can you find me some bananas ?,find,find,VB,me,bananas,PRP,NNS
can you give me a little kiss ?,give,give,VB,kiss,me,NN,PRP
do you like this squirrel book that auntie gave you ?,give,gave,VBD,you,that,PRP,WDT
give mommy your spoon ?,give,give,VB,spoon,mommy,NN,NN
three oh you gave mommy the three .,give,gave,VBD,three,mommy,CD,NN
bring her a little bowl too .,bring,bring,VB,bowl,her,NN,PRP
i gave you a spoon .,give,gave,VBD,spoon,you,NN,PRP
give me the box .,give,give,VB,box,me,NN,PRP
give me the box .,give,give,VB,box,me,NN,PRP
give me the box .,give,give,VB,box,me,NN,PRP
give me the box .,give,give,VB,box,me,NN,PRP
you gonna give patsy another one ?,give,give,VB,one,patsy,NN,NNP
well let me tell you story .,tell,tell,VB,story,you,NN,PRP
give me that damn cup ?,give,give,VB,cup,me,NN,PRP
give me it ?,give,give,VB,it,me,PRP,PRP
then i'll give you a penny okay .,give,give,VB,penny,you,NN,PRP
your granma and grampa hartzell gave you that chair .,give,gave,VBD,chair,you,NN,PRP
give daddy that basket .,give,give,VB,basket,daddy,NN,NN
bring me that basket ?,bring,bring,VB,basket,me,NN,PRP
listen let us you pull it a couple times .,pull,pull,VB,it,us,PRP,PRP
i'll tell you one story .,tell,tell,VB,story,you,NN,PRP
while daddy tells you story .,tell,tells,VBZ,story,you,NN,PRP
you could show manuela your room ?,show,show,VB,room,manuela,NN,NNP
you can show you can show manuela all of hucklecat's friends .,show,show,VB,all,manuela,DT,NNP
yeah sweetie donchou wanna show donchou wanna show manuela all of hucklecat's friends .,show,show,VB,all,manuela,DT,NNP
close your eyes said frederick as he climbed on a big stone i send you the rays of sun .,send,send,VBP,rays,you,NNS,PRP
do you want something to eat or are you just saying ee ee ee ?,say,saying,VBG,ee,ee,UH,UH
the principal beamed as he watched from afar he lifted miss spider and gave her a .,give,gave,VBD,a,her,DT,PRP
let's get you toasty and warm she said and she made him a cup of chamomile tea .,make,made,VBD,cup,him,NN,PRP
do you feel better yet asked felix's mama no said felix so his mama gave him some sugared prunes you'll feel perkier with prunes she said ?,give,gave,VBD,prunes,him,NNS,PRP
i'm not feeling perkier said felix fresh air will give you a boost said his mother .,give,give,VB,boost,you,NN,PRP
then he gave felix two spoonfuls of happy tummy and said call me in the morning .,give,gave,VBD,spoonfuls,felix,NNS,NNP
let's make a snow man sam said stella where does a snow man sleep in a soft fluffy snow bank answered stella what does a snow man eat asked sam snowballs snow peas and snow suits .,ask,asked,VBD,sam,what,NNP,WP
you wanna show manuela your paint brush ?,show,show,VB,brush,manuela,NN,NNP
if you give a pig a pancake .,give,give,VBP,pancake,pig,NN,NN
you'll give her some of your favorite maple syrup .,give,give,VB,some,her,DT,PRP
when you give her the bubbles she'll probably ask you for a toy ?,give,give,VBP,bubbles,her,NNS,PRP
if you give a pig a pancake .,give,give,VBP,pancake,pig,NN,NN
you'll give her some of your favorite maple syrup .,give,give,VB,some,her,DT,PRP
yes i'm gonna give you the bowl back .,give,give,VB,bowl,you,NN,PRP
she's showing the goat the rug that she made ?,show,showing,VBG,rug,goat,NN,NN
i'll make you some real noodles for lunch .,make,make,VB,noodles,you,NNS,PRP
show me some pictures .,show,show,VB,pictures,me,NNS,PRP
can i give you a little bite of that oatmeal .,give,give,VB,bite,you,NN,PRP
i wish daddy had given you these before .,give,given,VBN,these,you,DT,PRP
tell me rockabye baby .,tell,tell,VB,rockabye,me,NNP,PRP
let me give you a bite of sausages .,give,give,VB,bite,you,NN,PRP
i'm gonna serve up the breakfast beecee .,serve,serve,VB,beecee,breakfast,XX,NN
i'll give you it if you puts it down please .,give,give,VB,it,you,PRP,PRP
let daddy give you some juice .,give,give,VB,juice,you,NN,PRP
come give daddy a kiss .,give,give,VB,kiss,daddy,NN,NN
give daddy a kiss .,give,give,VB,kiss,daddy,NN,NN
give daddy hug .,give,give,VB,hug,daddy,NN,NN
give daddy hug .,give,give,VB,hug,daddy,NN,NN
give daddy hug ?,give,give,VB,hug,daddy,NN,NN
let daddy find you a penny .,find,find,VB,penny,you,NN,PRP
let daddy find you a penny .,find,find,VB,penny,you,NN,PRP
just give me this other hand though .,give,give,VB,hand,me,NN,PRP
give me your hand .,give,give,VB,hand,me,NN,PRP
now give me that diaper .,give,give,VB,diaper,me,NN,PRP
uh okay i'll give you the phone .,give,give,VB,phone,you,NN,PRP
can i i give you a kiss ?,give,give,VB,kiss,you,NN,PRP
look what i made marble sandwich .,make,made,VBD,sandwich,what,NNP,WP
here i'll give you some more ice cream ?,give,give,VB,cream,you,NN,PRP
you're giving dolly a cookie .,give,giving,VBG,cookie,dolly,NN,NNP
you're giving dolly a cookie ?,give,giving,VBG,cookie,dolly,NN,NNP
yeah you're giving dolly a drink .,give,giving,VBG,drink,dolly,NN,NNP
yeah you're giving dolly a drink .,give,giving,VBG,drink,dolly,NN,NNP
why don't you bring me the yellow block .,bring,bring,VB,block,me,NN,PRP
let's see what shall we give dolly .,give,give,VB,dolly,what,NNP,WP
let's give dolly some milk .,give,give,VB,milk,dolly,NN,NNP
you give dolly some milk .,give,give,VBP,milk,dolly,NN,NNP
you said you wanted some cereal so i gave you cereal .,give,gave,VBD,cereal,you,NN,PRP
i'm not giving you peanut butter on a spoon till lunchtime .,give,giving,VBG,butter,you,NN,PRP
no no don't eat that i'll give you a snack .,give,give,VB,you,that,PRP,DT
you left me a message .,leave,left,VBD,message,me,NN,PRP
the fabric store left you a message ?,leave,left,VBD,message,you,NN,PRP
a lion what does the lion say ?,say,say,VB,what,lion,WP,NN
let's see if i can give you some directions .,give,give,VB,directions,you,NNS,PRP
peter can you hand me the lady ?,hand,hand,VB,lady,me,NN,PRP
give me the lady thank you .,give,give,VB,lady,me,NN,PRP
do you think you can find another one and give it pat ?,give,give,VB,pat,it,NN,PRP
oh thank you you giving me yours ?,give,giving,VBG,yours,me,PRP,PRP
what nice boy you showing her the car ?,show,showing,VBG,car,her,NN,PRP
you showing jennifer the car ?,show,showing,VBG,car,jennifer,NN,NNP
yeah showing her the car .,show,showing,VBG,car,her,NN,PRP
okay well give me the uh give me a screw okay now give me a bolt .,give,give,VB,screw,me,NN,PRP
give me a bolt .,give,give,VB,bolt,me,NN,PRP
give me the rug .,give,give,VB,rug,me,NN,PRP
what're you telling her ?,tell,telling,VBG,her,what,PRP,WP
i taught you a new game .,teach,taught,VBD,game,you,NN,PRP
i'll give you a ride into the middle of the stream .,give,give,VB,ride,you,NN,PRP
what did he tell her ?,tell,tell,VB,her,what,PRP,WP
he told him the whole story .,tell,told,VBD,story,him,NN,PRP
say give grandaddy hug ?,give,give,VB,hug,grandaddy,NN,NN
you said give me that ?,give,give,VB,that,me,DT,PRP
and did we give you a bath tonight .,give,give,VB,bath,you,NN,PRP
give daddy a little room .,give,give,VB,room,daddy,NN,NN
daddy offered you all kinds of good food this morning .,offer,offered,VBD,kinds,you,NNS,PRP
maybe i'm gonna offer you the same thing at lunch .,offer,offer,VB,thing,you,NN,PRP
maybe i'll offer you some squash ?,offer,offer,VB,squash,you,NN,PRP
now if you do not want to eat what i'm giving you ?,give,giving,VBG,you,what,PRP,WP
show me the fish biting the truck .,show,show,VB,fish,me,NN,PRP
here hand me that one ?,hand,hand,VB,one,me,NN,PRP
megan give her the chicken and her animals .,give,give,VBP,chicken,her,NN,PRP
give her the animals .,give,give,VB,animals,her,NNS,PRP
here feed your cow some more .,feed,feed,VB,more,cow,JJR,NN
give me your foot ?,give,give,VB,foot,me,NN,PRP
look he's giving that rat his cheese ?,give,giving,VBG,cheese,rat,NN,NN
show her them flies ?,show,show,VB,flies,her,NNS,PRP
show me your books .,show,show,VB,books,me,NNS,PRP
oh okay find me a book ?,find,find,VB,book,me,NN,PRP
give me it .,give,give,VB,it,me,PRP,PRP
kalie's give me them .,give,give,VBP,them,me,PRP,PRP
and here's the milk that the cow gives you ?,give,gives,VBZ,you,that,PRP,WDT
give me the horse would you .,give,give,VB,horse,me,NN,PRP
give me the horse .,give,give,VB,horse,me,NN,PRP
give me horsie .,give,give,VB,horsie,me,NN,PRP
give me one .,give,give,VB,one,me,NN,PRP
give me one of these at my real birthday at my real birthday .,give,give,VB,one,me,NN,PRP
see and you can give each mommy a baby .,give,give,VB,baby,mommy,NN,NN
give me this and this for my real birthday .,give,give,VB,this,me,DT,PRP
now give me it .,give,give,VB,it,me,PRP,PRP
thanks for getting one thanks for bringing me some cars .,bring,bringing,VBG,cars,me,NNS,PRP
travis what did i tell you huh .,tell,tell,VB,you,what,PRP,WP
give me some money i want some money ?,give,give,VB,money,me,NN,PRP
give me my brand new bicycle with training wheels .,give,give,VB,bicycle,me,NN,PRP
give me some more money .,give,give,VB,money,me,NN,PRP
give me some more money more money .,give,give,VB,money,me,NN,PRP
no max said max's sister ruby we're gonna make grandma an angel surprise cake with raspberry fluff icing .,make,make,VB,cake,grandma,NN,NN
eggs said the grocer and he gave max eggs .,give,gave,VBD,eggs,max,NNS,NNP
max hoped and hoped for his squirters but the grocer still couldn't read max's writing milk said the grocer and he gave max milk ?,give,gave,VBD,milk,max,NN,NNP
he's bringing her the milk .,bring,bringing,VBG,milk,her,NN,PRP
flour said the grocer and he gave max flour ?,give,gave,VBD,flour,max,NN,NNP
oh she gave him a spoon of the icing .,give,gave,VBD,spoon,him,NN,PRP
you may buy a very very small lemonade max said ruby what's she giving him now .,give,giving,VBG,him,what,PRP,WP
she's giving him her wallet do you think that's a good idea ?,give,giving,VBG,wallet,him,NN,PRP
