sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos
you gonna read that book to daddy .,read,read,VB,book,daddy,NN,NNP
you wanna read that to daddy honey ?,read,read,VB,that,daddy,DT,NNP
are you gonna bring the keys to manuela .,bring,bring,VB,keys,manuela,NNS,NNP
she goes our neighbor taught this to her .,teach,taught,VBD,this,her,DT,PRP
she's i actually say that to her a lot of the time .,say,say,VBP,that,her,DT,PRP
oh you're bringing it to manuela .,bring,bringing,VBG,it,manuela,PRP,NNP
you wanna blow you wanna give a kiss to the camera ?,give,give,VB,kiss,camera,NN,NN
and i'll throw the ball to you .,throw,throw,VB,ball,you,NN,PRP
yeah he's towing im to a garage .,tow,towing,VBG,i,m,PRP,PRP
go show it to mommy and your brother .,show,show,VB,it,mommy,PRP,NN
now now you haul them out to the plane ?,haul,haul,VBP,them,plane,PRP,NN
drive it back here to mama ?,drive,drive,VB,it,mama,PRP,NN
would you read this to me .,read,read,VB,this,me,DT,PRP
mama would you read this to me ?,read,read,VB,this,me,DT,PRP
that's still too much but we'll give it to you huh ?,give,give,VB,it,you,PRP,PRP
can you throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
are you going to give some orange to the piggie .,give,give,VB,orange,piggie,NN,NN
throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
here you wanna sit down and you can roll the ball to mommy ?,roll,roll,VB,ball,mommy,NN,NN
okay mommy roll the ball to you .,roll,roll,VB,ball,you,NN,PRP
mommy throw the ball to you ?,throw,throw,VB,ball,you,NN,PRP
so that when leah comes back we can give it to her .,give,give,VB,it,her,PRP,PRP
don't eat that give that to mama .,give,give,VB,that,mama,DT,NN
okay push it through to mommy .,push,push,VB,it,mommy,PRP,NN
push it to mommy .,push,push,VB,it,mommy,PRP,NN
show it to me .,show,show,VB,it,me,PRP,PRP
go give it to mommy go give it to mommy go give it to mommy .,give,give,VB,it,mommy,PRP,NN
let's put it over here for later no no go give it to mommy .,give,give,VB,it,mommy,PRP,NN
go give it to mommy .,give,give,VB,it,mommy,PRP,NN
that's right make nice to the machine .,make,make,VB,nice,machine,JJ,NN
you don't wanna give it to her .,give,give,VB,it,her,PRP,PRP
want me throw it to you .,throw,throw,VB,it,you,PRP,PRP
me throw it to you ?,throw,throw,VB,it,you,PRP,PRP
you throw it to me .,throw,throw,VBP,it,me,PRP,PRP
do you want me to throw the ball to you ?,throw,throw,VB,ball,you,NN,PRP
throw it to me .,throw,throw,VB,it,me,PRP,PRP
throw it to me !,throw,throw,VB,it,me,PRP,PRP
can you throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
and throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw it to mom .,throw,throw,VB,it,mom,PRP,NN
well you don't have to give them all to me .,give,give,VB,them,me,PRP,PRP
you read it read it to mommy alex's turn .,read,read,VBP,it,turn,PRP,NN
give that to mommy .,give,give,VB,that,mommy,DT,NN
can you read it to mommy ?,read,read,VB,it,mommy,PRP,NN
can you read the book to mommy ?,read,read,VB,book,mommy,NN,NN
can you read the book to mommy ?,read,read,VB,book,mommy,NN,NN
wanna throw it to mommy !,throw,throw,VB,it,mommy,PRP,NN
wanna throw it to mommy !,throw,throw,VB,it,mommy,PRP,NN
here try to roll it to mommy !,roll,roll,VB,it,mommy,PRP,NN
we roll the ball to my mom she rolls it back !,roll,roll,VBP,ball,mom,NN,NN
roll the ball to my mom she rolls it back to me .,roll,roll,VB,ball,mom,NN,NN
give it to me .,give,give,VB,it,me,PRP,PRP
give to me the ball !,give,give,VB,me,ball,PRP,NN
go put it away and bring the box to mommy .,bring,bring,VB,box,mommy,NN,NN
can you throw it to me over here ?,throw,throw,VB,it,me,PRP,PRP
can you throw it to mama ?,throw,throw,VB,it,mama,PRP,NN
can you throw the ball to mama ?,throw,throw,VB,ball,mama,NN,NN
give it to mama !,give,give,VB,it,mama,PRP,NN
give it to mama !,give,give,VB,it,mama,PRP,NN
here can you throw the ball to mommy !,throw,throw,VB,ball,mommy,NN,NN
you throw the ball to mommy .,throw,throw,VBP,ball,mommy,NN,NN
my mom used to read it to me when i was little .,read,read,VB,it,me,PRP,PRP
mail carriers deliver letters and packages to people's homes .,deliver,deliver,VBP,letters,homes,NNS,NNS
molly's grandma sends a letter to the post office .,send,sends,VBZ,letter,office,NN,NN
a truck takes the mail to the airport .,take,takes,VBZ,mail,airport,NN,NN
the plane lands and the truck takes the mail to the post office near molly's house .,take,takes,VBZ,mail,office,NN,NN
then the mail carrier in molly's town delivers the letter to molly .,deliver,delivers,VBZ,town,letter,NN,NN
sweetie pie should we try this and see if we want to bring it to debbie's with us ?,bring,bring,VB,it,debbie,PRP,NNP
i think manuela's out there honey wanna bring the box to her .,bring,bring,VB,box,her,NN,PRP
can you show that to jessica ?,show,show,VB,that,jessica,DT,NNP
you brought this book to me this morning .,bring,brought,VBD,book,me,NN,PRP
i'm not giving them to you without being covered .,give,giving,VBG,them,you,PRP,PRP
throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
now roll the ball to mom ?,roll,roll,VB,ball,mom,NN,NN
throw it to mom ?,throw,throw,VB,it,mom,PRP,NN
go pick up the blocks and bring em back over here to mama .,bring,bring,VB,em,mama,PRP,NN
they got to give it to him oh here ?,give,give,VB,it,him,PRP,PRP
you throw it to me .,throw,throw,VBP,it,me,PRP,PRP
wanna get it and throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
go get the ball and throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
give it to mommy .,give,give,VB,it,mommy,PRP,NN
you are giving that to me thank you .,give,giving,VBG,that,me,DT,PRP
you know i think possibly some of the toys that are here are toys that you don't really play with any more we should give them to somebody who doesn't have any toys .,give,give,VB,them,somebody,PRP,NN
then we'll give some to laura .,give,give,VB,some,laura,DT,NNP
when he got to the top he threw water at the rainbow ?,throw,threw,VBD,top,water,NN,NN
tow it to the gas station so it can be fixed .,tow,tow,VB,it,station,PRP,NN
get the tigger book and i'll read it again to you .,read,read,VB,it,you,PRP,PRP
she's right over here i'll give her to you in just a second .,give,give,VB,her,you,PRP,PRP
go over there and i'll throw it to you .,throw,throw,VB,it,you,PRP,PRP
can you throw it to me ?,throw,throw,VB,it,me,PRP,PRP
throw it here to mommy ?,throw,throw,VB,it,mommy,PRP,NN
do you want mommy to read it to you ?,read,read,VB,it,you,PRP,PRP
do you wanna sit up on my lap and mommy will read it to you ?,read,read,VB,it,you,PRP,PRP
throw it to mom ?,throw,throw,VB,it,mom,PRP,NN
throw it to mom .,throw,throw,VB,it,mom,PRP,NN
is that what dabee sings to you .,sing,sings,VBZ,what,you,WP,PRP
and i'm gonna take you to easter seal and tell them you are dribbling your food down your front .,take,take,VB,you,seal,PRP,NNP
we forgot we did not take him on our trip to palastine and houston .,take,take,VB,him,trip,PRP,NN
introduce you to my friends .,introduce,introduce,VB,you,friends,PRP,NNS
so um i would just play with her and introduce her to them and see if she can imitate the names just to see where she would put the stress on them .,introduce,introduce,VB,her,them,PRP,PRP
did we take daddy to the train station in the car this morning .,take,take,VB,daddy,station,NN,NN
during sharing time lilly showed her creations to the entire class .,show,showed,VBD,time,creations,NN,NNS
did you try and give some food to moby the kittie cat ?,give,give,VB,food,moby,NN,NNP
feed some to the jack in the box .,feed,feed,VB,some,jack,DT,NNP
you sit down and mommy will bring stuff to you okay ?,bring,bring,VB,stuff,you,NN,PRP
gonna tell me about the little pig that went to market .,tell,tell,VB,me,pig,PRP,NN
would you say something to aunt rose ?,say,say,VB,something,rose,NN,NNP
you read it to me eh !,read,read,VBD,it,me,PRP,PRP
will eve read lassie to fraser .,read,read,VB,lassie,fraser,NNP,NNP
give it to papa and he'll take the nipple out .,give,give,VB,it,papa,PRP,NNP
you take it to mama ?,take,take,VBP,it,mama,PRP,NN
you take it to mama ?,take,take,VBP,it,mama,PRP,NN
we'll give it to sarah .,give,give,VB,it,sarah,PRP,NNP
would you give the bottle to papa so he can rinse the nipple for me ?,give,give,VB,bottle,papa,NN,NNP
give it to papa so he can rinse the nipple for us please ?,give,give,VB,it,papa,PRP,NNP
you're going to give the sugar to fraser ?,give,give,VB,sugar,fraser,NN,NNP
did he give the fish to the seal .,give,give,VB,fish,seal,NN,NN
did i read the book to you ?,read,read,VB,book,you,NN,PRP
did you read the book to me ?,read,read,VB,book,me,NN,PRP
you're gonna take it to bed .,take,take,VB,it,bed,PRP,NN
are you gonna give it to sarah to hold ?,give,give,VB,it,sarah,PRP,NNP
do you wanna throw it to me ?,throw,throw,VB,it,me,PRP,PRP
do you wanna throw it to me ?,throw,throw,VB,it,me,PRP,PRP
give it to the baby ?,give,give,VB,it,baby,PRP,NN
give it to the baby !,give,give,VB,it,baby,PRP,NN
you read it you read it to me .,read,read,VBD,it,it,PRP,PRP
i'm calling because gail wanted me to say hello to you and she'd like to say hi to her daddy okay .,say,say,VB,hello,you,UH,PRP
you wanna say goodbye to eleanor now ?,say,say,VB,goodbye,eleanor,UH,NNP
do you wanna say goodbye to eleanor say goodbye ?,say,say,VB,goodbye,eleanor,NN,NNP
can can you read the book to mommy ?,read,read,VB,book,mommy,NN,NN
would you like to throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
would you like to roll the ball the ball to mommy .,roll,roll,VB,ball,mommy,NN,NN
do you want me to bounce it to you or roll it to you ?,bounce,bounce,VB,it,you,PRP,PRP
do you wanna throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
would you like me to read it or are you gonna read it to mommy .,read,read,VB,it,mommy,PRP,NN
okay you carry it to the kitchen .,carry,carry,VBP,it,kitchen,PRP,NN
give that to me .,give,give,VB,that,me,DT,PRP
have to make nice to the machine .,make,make,VB,nice,machine,JJ,NN
give them to me .,give,give,VB,them,me,PRP,PRP
show them to daddy ?,show,show,VB,them,daddy,PRP,NN
i'll send a cookie to school for lunch for you .,send,send,VB,cookie,school,NN,NN
i sent them to school with you ?,send,sent,VBD,them,school,PRP,NN
they are gonna take you to the beach .,take,take,VB,you,beach,PRP,NN
nancy and lisa and all those people are gonna take you to the beach .,take,take,VB,you,beach,PRP,NN
if you bring him to mom i'll show you how he goes .,bring,bring,VBP,him,mom,PRP,NN
send him over to me .,send,send,VB,him,me,PRP,PRP
send him over to me ?,send,send,VB,him,me,PRP,PRP
can can you read it to mama ?,read,read,VB,it,mama,PRP,NN
here give that to brittany let brittany play come here and me and you'll build something .,give,give,VB,that,brittany,DT,NNP
why don't you go show it to mommy ?,show,show,VB,it,mommy,PRP,NN
oh you gave it back to me .,give,gave,VBD,it,me,PRP,PRP
did mommy take you to the beach ?,take,take,VB,you,beach,PRP,NN
did mommy take you to the beach .,take,take,VB,you,beach,PRP,NN
don't say that to her ?,say,say,VB,that,her,DT,PRP
okay you gonna show 'em to mommy .,show,show,VB,'em,mommy,PRP,NN
and i'll take you right to it .,take,take,VB,you,it,PRP,PRP
oh are you giving that to manuela .,give,giving,VBG,that,manuela,DT,NNP
oh do you wanna give it to manuela ?,give,give,VB,it,manuela,PRP,NNP
oh you wanna give it to mommy ?,give,give,VB,it,mommy,PRP,NN
okay give it to mommy ?,give,give,VB,it,mommy,PRP,NN
polly pockets do you wanna show polly pockets to manuela .,show,show,VB,pockets,manuela,NNS,NNP
you know what you didn't say to manuela honey .,say,say,VB,what,honey,WP,NNP
can you go in and say happy halloween to manuela ?,say,say,VB,halloween,manuela,NNP,NNP
oh you're bringing polly pocket's clothes to manuela .,bring,bringing,VBG,clothes,manuela,NNS,NNP
and a lot of times she'll say something to me and i don't know what she's saying and i just need to like not even put it in context and just keep repeating the word .,say,say,VB,times,something,NNS,NN
can you give a kiss to ben honey ?,give,give,VB,kiss,honey,NN,NNP
you're giving the microphone to the fish .,give,giving,VBG,microphone,fish,NN,NN
let's close it and take it to the car let's close it and take it to the car oops let's close this side let's close this side thank you now we're carrying it over to the car ?,take,take,VB,it,car,PRP,NN
what're you gonna say to yourself ?,say,say,VB,what,yourself,WP,PRP
let's give it to the alligator so he can !,give,give,VB,it,alligator,PRP,NN
give it to me !,give,give,VB,it,me,PRP,PRP
he flashed his light around sofas and beds until he came to the biggest bed of all .,flash,flashed,VBD,light,sofas,NN,NNS
i think they didn't give it back to me ?,give,give,VB,it,me,PRP,PRP
william can you sing skip to my loo my darling ?,sing,sing,VB,skip,loo,NN,NN
do you wanna give it to roy ?,give,give,VB,it,roy,PRP,NNP
give the bear to roy .,give,give,VB,bear,roy,NN,NNP
send the box to sheila .,send,send,VB,box,sheila,NN,NNP
you only take aspirins when mommy gives them to you ?,give,gives,VBZ,them,you,PRP,PRP
when margaret gives them to becky ?,give,gives,VBZ,them,becky,PRP,NNP
did your mommy take you to the beach ?,take,take,VB,you,beach,PRP,NN
are you gonna read it to mommy .,read,read,VB,it,mommy,PRP,NN
oh but i thought you were going to give it to me ?,give,give,VB,it,me,PRP,PRP
you want me to read the book to you ?,read,read,VB,book,you,NN,PRP
you could give that to the baby ?,give,give,VB,that,baby,DT,NN
give the box to the baby .,give,give,VB,box,baby,NN,NN
can you bring them to me ?,bring,bring,VB,them,me,PRP,PRP
we gave them to gigi .,give,gave,VBD,them,gigi,PRP,NNP
bring the blocks to me j j .,bring,bring,VB,blocks,me,NNS,PRP
wanna feed that to your dog ?,feed,feed,VB,that,dog,DT,NN
let's feed it to the dog bring him out .,feed,feed,VB,it,dog,PRP,NN
what're you gonna say to daddy ?,say,say,VB,what,daddy,WP,NN
you read it to me .,read,read,VBD,it,me,PRP,PRP
now i'm gonna give it to you .,give,give,VB,it,you,PRP,PRP
should we mail these pictures to grandma .,mail,mail,VB,pictures,grandma,NNS,NN
let's mail them to grandma ?,mail,mail,VB,them,grandma,PRP,NN
i gave it to you .,give,gave,VBD,it,you,PRP,PRP
and who did grandma rosie give to you .,give,give,VB,who,you,WP,PRP
wanna show the pictures to manuela .,show,show,VB,pictures,manuela,NNS,NNP
careful because it's very sharp can you give that to mommy .,give,give,VB,that,mommy,DT,NN
you want to give it to manuela okay .,give,give,VB,it,manuela,PRP,NNP
show marge to manuela honey .,show,show,VB,marge,honey,NNP,NNP
go get it bring it to daddy ?,bring,bring,VB,it,daddy,PRP,NN
go get it bring it to daddy ?,bring,bring,VB,it,daddy,PRP,NN
hand it to daddy ?,hand,hand,VB,it,daddy,PRP,NN
handing it to me .,hand,handing,VBG,it,me,PRP,PRP
yes then i'm gonna take him to the beach .,take,take,VB,him,beach,PRP,NN
i took him to the doctor .,take,took,VBD,him,doctor,PRP,NN
and uh i took him to the doctor last week .,take,took,VBD,him,doctor,PRP,NN
he drove the truck to the factory .,drive,drove,VBD,truck,factory,NN,NN
can you throw it to mommy good catch good throw ready ?,throw,throw,VB,it,mommy,PRP,NN
mommy's turn ready ethan catches it he takes it to the basket he scores yay .,take,takes,VBZ,it,it,PRP,PRP
did you give one of those to baby ?,give,give,VB,one,those,CD,DT
give one to baby .,give,give,VB,one,baby,CD,NN
did you feed one of these flowers to baby .,feed,feed,VB,one,flowers,CD,NNS
feed one to baby ?,feed,feed,VB,one,baby,CD,NN
peter throw it this way throw it to me come on throw the ball .,throw,throw,VB,it,me,PRP,PRP
hit it to me .,hit,hit,VB,it,me,PRP,PRP
hit it to her again there .,hit,hit,VBD,it,her,PRP,PRP
no don't hit me no i'll hit the ball to you i'll bat the ball to you this is a bat you ready ?,hit,hit,VB,ball,you,NN,PRP
here peter why don't you give that to me ?,give,give,VB,that,me,DT,PRP
you almost gave it to me you changed your mind will you give it to me ?,give,gave,VBD,it,me,PRP,PRP
come and show it to me .,show,show,VB,it,me,PRP,PRP
aha here comes roger now he has found ma pig's new car and he's bringing it to her ?,bring,bringing,VBG,it,her,PRP,PRP
what're you gonna say to grampa ?,say,say,VB,what,grampa,WP,NNP
what're you gonna say to grampa ?,say,say,VB,what,grampa,WP,NNP
hand them to me .,hand,hand,VB,them,me,PRP,PRP
hand it to me and let me look .,hand,hand,VB,it,me,PRP,PRP
hand it to me if you want the real ones .,hand,hand,VB,it,me,PRP,PRP
alright hand it to me then .,hand,hand,VB,it,me,PRP,PRP
hurry she's gonna say something to you .,say,say,VB,something,you,NN,PRP
she's giving it back to you travis .,give,giving,VBG,it,you,PRP,PRP
you want me to read this book to you .,read,read,VB,book,you,NN,PRP
read it to me .,read,read,VB,it,me,PRP,PRP
want me to show it to you .,show,show,VB,it,you,PRP,PRP
tomorrow sandra is gonna take you to the beach .,take,take,VB,you,beach,PRP,NN
sandra is gonna take you to the beach .,take,take,VB,you,beach,PRP,NN
let's go sit over here and read this book to sleepy bear .,read,read,VB,book,bear,NN,NNP
we're reading a story to sleepy bear .,read,reading,VBG,story,bear,NN,NNP
what did she say to us the other day ?,say,say,VB,what,us,WP,PRP
did i tell you she said no dirty schmutz to me .,say,said,VBD,schmutz,me,NN,PRP
oh you did and i saved the vocabulary i forgot to give it to you last time the vocabulary list .,give,give,VB,it,you,PRP,PRP
oh are you giving kisses to daisy .,give,giving,VBG,kisses,daisy,NNS,NNP
who drives daddy to the train ?,drive,drives,VBZ,daddy,train,NN,NN
who takes daddy to the train in the morning ?,take,takes,VBZ,daddy,train,NN,NN
don't mommy and lily take daddy to the train in the morning ?,take,take,VB,daddy,train,NN,NN
did we give baby elmo to gabby .,give,give,VB,elmo,gabby,NNP,NNP
you wanna give the door to daddy and i'll fix it ?,give,give,VB,door,daddy,NN,NNP
i don't think i've mentioned the kitchen to her yet .,mention,mentioned,VBN,kitchen,her,NN,PRP
now stop max said and sent the wild things to bed without their supper .,send,sent,VBD,things,bed,NNS,NN
you want you want to read it to mommy ?,read,read,VB,it,mommy,PRP,NN
and what do you say to swiper .,say,say,VB,what,swiper,WP,NNP
and sometimes when she says it she says it for the most obvious things that you know she knows full well and she's just like not listening to you .,say,says,VBZ,it,it,PRP,PRP
do you wanna throw the ball to daddy ?,throw,throw,VB,ball,daddy,NN,NN
do you want daddy to throw the ball to you and you can catch it ?,throw,throw,VB,ball,you,NN,PRP
yeah to lift him up back onto the tracks or maybe take him to the garage to be fixed .,lift,lift,VB,him,tracks,PRP,NNS
ant you can read it to me .,read,read,VB,it,me,PRP,PRP
come si bring the backpack to mommy .,bring,bring,VB,backpack,mommy,NN,NN
okay nomi i'll read it to you .,read,read,VB,it,you,PRP,PRP
you read it to mommy ?,read,read,VBD,it,mommy,PRP,NN
you give that to me .,give,give,VBP,that,me,DT,PRP
go give it to daddy ?,give,give,VB,it,daddy,PRP,NN
give it to brittany .,give,give,VB,it,brittany,PRP,NNP
give it to her .,give,give,VB,it,her,PRP,PRP
have daddy take you to different places .,take,take,VB,you,places,PRP,NNS
who did we sing that to recently ?,sing,sing,VB,who,that,WP,DT
last week we sang that to daddy ?,sing,sang,VBD,that,daddy,DT,NN
say it to her ?,say,say,VB,it,her,PRP,PRP
also we took him to the aquarium this past sunday and he's still talking about the seals .,take,took,VBD,him,aquarium,PRP,NN
have this and i'll cut the apple and bring it to you .,bring,bring,VB,it,you,PRP,PRP
you're giving juice to the baby .,give,giving,VBG,juice,baby,NN,NN
are you giving juice to the carrot ?,give,giving,VBG,juice,carrot,NN,NN
are you giving juice to the carrot ?,give,giving,VBG,juice,carrot,NN,NN
i'll show it to you .,show,show,VB,it,you,PRP,PRP
no he didn't take it to emerson .,take,take,VB,it,emerson,PRP,NNP
you can feed it to this bunny ?,feed,feed,VB,it,bunny,PRP,NN
feed the carrot to that bunny .,feed,feed,VB,carrot,bunny,NN,NN
as soon as you put your eyeglasses on you'll read it to me .,read,read,VB,eyeglasses,it,NNS,PRP
do you want me to read the book to you ?,read,read,VB,book,you,NN,PRP
i'll send him over to you ?,send,send,VB,him,you,PRP,PRP
giving it to me .,give,giving,VBG,it,me,PRP,PRP
give them to cookie monster .,give,give,VB,them,monster,PRP,NNP
give the jelly beans to cookie .,give,give,VB,beans,cookie,NNS,NN
that is rosita would you like to give them to grover .,give,give,VB,them,grover,PRP,NNP
feed the you would like to feed the candy to the count .,feed,feed,VB,candy,count,NN,NN
well would you like to give it to prairie .,give,give,VB,it,prairie,PRP,NNP
we'll give the bat to zoe ?,give,give,VB,bat,zoe,NN,NNP
would you like to give the apple to bert .,give,give,VB,apple,bert,NN,NNP
oh that's okay give it to mommy .,give,give,VB,it,mommy,PRP,NN
give them to me joanne .,give,give,VB,them,me,PRP,PRP
give them to me and i'll put em on .,give,give,VB,them,me,PRP,PRP
can you throw it to me ?,throw,throw,VB,it,me,PRP,PRP
give it to you ?,give,give,VB,it,you,PRP,PRP
give it back to daddy ?,give,give,VB,it,daddy,PRP,NN
don't hand them to me .,hand,hand,VB,them,me,PRP,PRP
you do great you wanna come out and mommy will read some books to you ?,read,read,VB,books,you,NNS,PRP
she sat for an hour and a half and had him read books to her straight ?,read,read,VB,books,her,NNS,PRP
i like school spot needs to be paying attention to the teacher .,pay,paying,VBG,attention,teacher,NN,NN
take me to the la la moon that's the song i don't know ?,take,take,VB,me,moon,PRP,NN
and bring them to mommy .,bring,bring,VB,them,mommy,PRP,NN
that girl is finding the rubber duck to give it to the pig who's taking a bath with bubbles in the bath tub .,give,give,VB,it,pig,PRP,NN
and she sees the picture she'll ask you to take more she wants to send one to each of her friends she wants all those photographs ?,send,send,VB,one,each,CD,DT
on the way and take her to the mail box ?,take,take,VB,way,her,NN,PRP
maybe her mommy's gonna cut hearts out of paper to give them to her to glue on the notes hm ?,give,give,VB,them,her,PRP,PRP
yeah she's stamping envelopes and then she's taking them to the post office in a what .,take,taking,VBG,them,office,PRP,NN
oh okay i will sit in the chair right here and read it to you .,read,read,VB,it,you,PRP,PRP
max introduced grandma to the jelly ball shooter spider and the ear splitter space ?,introduce,introduced,VBD,grandma,spider,NN,NN
i took laura with me when i went to disneyland .,take,took,VBD,laura,me,NNP,PRP
the next day the man with the polka dot tie and his little boy carried scuffy to a river .,carry,carried,VBD,tie,scuffy,NN,NNP
what do you say to the recorder ?,say,say,VB,what,recorder,WP,NN
would you get that and give it to me please .,give,give,VB,it,me,PRP,PRP
why don't you read the book to me ?,read,read,VB,book,me,NN,PRP
what's the bunny saying to the duck ?,say,saying,VBG,what,duck,WP,NN
and bryan had brought him to me .,bring,brought,VBN,him,me,PRP,PRP
you want me to give it to peanuts ?,give,give,VB,it,peanuts,PRP,NNS
you want me to give it to peanuts or not laura ?,give,give,VB,it,peanuts,PRP,NNS
yeah i'm gonna give it to her today ?,give,give,VB,it,her,PRP,PRP
i know i'm gonna give that to her and see if she wants to try to .,give,give,VB,that,her,DT,PRP
all morning i carry plaster up the stairs to my uncle .,carry,carry,VBP,plaster,stairs,NNP,NNS
all afternoon i go up and down the stairs to carry plaster to my uncle adam .,carry,carry,VB,plaster,uncle,NN,NN
all morning i carry plaster up the stairs to my uncle adam .,carry,carry,VBP,plaster,stairs,NNP,NNS
all afternoon i go up and down the stairs to carry plaster to my uncle adam ?,carry,carry,VB,plaster,uncle,NN,NN
can you pick that q up and hand it to mommy ?,hand,hand,VB,it,mommy,PRP,NN
i don't know how to explain that to you so .,explain,explain,VB,that,you,DT,PRP
okay g'ahead go upstairs and bring it down and i'll read it to you .,read,read,VB,it,you,PRP,PRP
do you think they are getting ready to take the presents to all of the good little girls and boys ?,take,take,VB,presents,all,NNS,DT
who's reading the book to bunny ?,read,reading,VBG,book,bunny,NN,NNP
do you want me to give a drink to dolly ?,give,give,VB,drink,dolly,NN,NNP
you going to throw it to me ?,throw,throw,VB,it,me,PRP,PRP
oh you going to roll the ball to mommy .,roll,roll,VB,ball,mommy,NN,NN
here let me roll the ball to you ?,roll,roll,VB,ball,you,NN,PRP
can you roll the ball to mommy ?,roll,roll,VB,ball,mommy,NN,NN
roll the ball to mommy .,roll,roll,VB,ball,mommy,NN,NN
trudie's taking you to school today .,take,taking,VBG,you,school,PRP,NN
give it to daddy and i will cut it up for nomi .,give,give,VB,it,daddy,PRP,NNP
now could you give her to me ?,give,give,VB,her,me,PRP,PRP
are you showing it to jennifer ?,show,showing,VBG,it,jennifer,PRP,NNP
i don't see it why don't you show it to me ?,show,show,VB,it,it,PRP,PRP
bring it loi bring it to her .,bring,bring,VB,it,her,PRP,PRP
you want lois to give it to you ?,give,give,VB,it,you,PRP,PRP
trying to throw the ball to daddy .,throw,throw,VB,ball,daddy,NN,NN
gonna throw it to you .,throw,throw,VB,it,you,PRP,PRP
bounce it to me ?,bounce,bounce,VB,it,me,PRP,PRP
i bounced it back to you .,bounce,bounced,VBD,it,you,PRP,PRP
the monkey would throw mangos down to the crocodile .,throw,throw,VB,mangos,crocodile,NNS,NN
and the crocodile took some of the mangos home to his wife ?,take,took,VBD,some,mangos,DT,NNS
and if you don't eat those i'll offer it to you for supper .,offer,offer,VB,those,it,DT,PRP
here give it to megan ?,give,give,VB,it,megan,PRP,NNP
i'm not showing this to you ?,show,showing,VBG,this,you,DT,PRP
you're not gonna show it to me .,show,show,VB,it,me,PRP,PRP
yep that's what you say when i give it to you ?,give,give,VBP,it,you,PRP,PRP
when i give it to you you say thank you ?,give,give,VBP,it,you,PRP,PRP
hunhunh travis give it back to her .,give,give,VBP,it,her,PRP,PRP
okay give them to me if you can't mind ?,give,give,VB,them,me,PRP,PRP
give it to mommy kalie she'll do it for you .,give,give,VB,it,kalie,PRP,NNP
and you're going to give them to another little boy .,give,give,VB,them,boy,PRP,NN
ruby send max to the store with a list that said ?,send,send,VB,max,store,NNP,NN
ruby sent max back to the store with a list that said .,send,sent,VBD,max,store,NNP,NN
you wanna read it to mommy ?,read,read,VB,it,mommy,PRP,NN
oh i have to read it to you okay .,read,read,VB,it,you,PRP,PRP
max wanted to make sure the teeth worked he put them in the teeth worked perfectly and ruby had to take max to the laundromat what're they gonna do with the laundromat .,take,take,VB,max,laundromat,NNP,NN
is he gonna give them to somebody ?,give,give,VB,them,somebody,PRP,NN
carry you i have to carry you to the other room .,carry,carry,VB,you,room,PRP,NN
i'll take it from here you can just give it to me here and i'll .,give,give,VB,it,it,PRP,PRP
why don't you take the doggie and bring him to our little village ?,bring,bring,VB,him,village,PRP,NN
shall we take dolly to the store .,take,take,VB,dolly,store,NNP,NN
do you want to take dolly to the store ?,take,take,VB,dolly,store,NNP,NN
and the monkey would throw mangos down to the crocodile .,throw,throw,VB,mangos,crocodile,NNS,NN
and we'll sing happy birthday to laura .,sing,sing,VB,birthday,laura,NN,NNP
you wanna show hondo and fabian to manuela ?,show,show,VB,hondo,manuela,NNP,NNP
are we gonna give lots of lil clothes to the baby girl .,give,give,VB,lots,clothes,NNS,NNS
and what about the baby owls oh look how fuzzy they are do you wanna show the baby owls to manuela .,show,show,VB,owls,owls,NNS,NNS
can you show the baby owls to manuela ?,show,show,VB,owls,manuela,NNS,NNP
do you wanna get your you wanna bring your mixer in here honey and show your mixer to manuela .,show,show,VB,mixer,manuela,NN,NNP
she said um she was a big truck on the way to taking don to the train .,take,taking,VBG,don,train,NNP,NN
remember what we were taking daddy to the train yesterday and you saw the big truck .,take,taking,VBG,daddy,train,NN,NN
were you reading stories to floppy yesterday .,read,reading,VBG,stories,floppy,NNS,NNP
were you reading stories to floppy .,read,reading,VBG,stories,floppy,NNS,NNP
do you wanna read stories to floppy .,read,read,VB,stories,floppy,NNS,NNP
do you wanna read stories to baby zoe .,read,read,VB,stories,zoe,NNS,NNP
were you reading stories to zoe .,read,reading,VBG,stories,zoe,NNS,NNP
did you go did you who took moby to the animal doctor yesterday ?,take,took,VBD,moby,doctor,NNP,NN
give yourself to the rain .,give,give,VB,yourself,rain,PRP,NN
that's a good book he was really doing a good job reading those poems to you .,read,reading,VBG,poems,you,NNS,PRP
that he took you to doctor dankner's office while you were having your nap ?,take,took,VBD,you,office,PRP,NN
you wanna take the baby book to music class ?,take,take,VB,book,class,NN,NN
well usually we don't bring things like this to music class because there's so much to do at music class there's hardly any time to do anything else ?,bring,bring,VB,things,this,NNS,DT
