sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos,genset
he's taking it to oscar it tickles elmo's nose .,take,taking,VBG,it,oscar,PRP,NNP,vbg
come here bring it to me .,bring,bring,VB,it,me,PRP,PRP,
okay you read it to me because i'm not going to sleep until i get a story .,read,read,VBD,it,me,PRP,PRP,vbd
oh bring the balloon to david .,bring,bring,VB,balloon,david,NN,NNP,
football you want me to throw it to you ?,throw,throw,VB,it,you,PRP,PRP,
well yeah okay you can give that to gigi go ahead .,give,give,VB,that,gigi,DT,NNP,
you just throw it to me .,throw,throw,VBP,it,me,PRP,PRP,
you want to drive me in the car to the zoo .,drive,drive,VB,me,car,PRP,NN,
your wife gave it to me for christmas .,give,gave,VBD,it,me,PRP,PRP,vbd
i gave it to you .,give,gave,VBD,it,you,PRP,PRP,vbd
and who is this reading to franny .,read,reading,VBG,who,franny,WP,NNP,x
teacher danielle gave it to you .,give,gave,VBD,it,you,PRP,PRP,vbd
no the only thing i was thinkin of tryin to take him to that gymboree class ?,take,take,VB,him,class,PRP,NN,
what does she say to you ?,say,say,VB,what,you,WP,PRP,
you gonna read the rabbit book to me ?,read,read,VB,book,me,NN,PRP,
do you wanna read the book to me ?,read,read,VB,book,me,NN,PRP,
i take you to club .,take,take,VBP,you,club,PRP,NN,
i'll read it to you !,read,read,VB,it,you,PRP,PRP,
there it is throw it to me ?,throw,throw,VB,it,me,PRP,PRP,
daddy is gonna dress you and take you to school .,take,take,VB,you,school,PRP,NN,
you want to read it to me ?,read,read,VB,it,me,PRP,PRP,
now you tell me what you want and i'll give it to you and you give me money okay .,give,give,VB,it,you,PRP,PRP,
what is she saying to the policeman ?,say,saying,VBG,what,policeman,WP,NN,x
did he send it to you in the mail ?,send,send,VB,it,you,PRP,PRP,
can you read it to mommy ?,read,read,VB,it,mommy,PRP,NN,
can you give that piece to mommy and i'll throw it away honey honey honey honey sweetie ?,give,give,VB,piece,mommy,NN,NN,
i went oh no but he never put it in his mouth i said give it to me that's yack ?,give,give,VB,it,me,PRP,PRP,
and the mommy tried to feed miss spider to her babies .,feed,feed,VB,spider,babies,NNP,NNS,
ellie gave it to you .,give,gave,VBD,it,you,PRP,PRP,vbd
but you wanna make a card from you to daddy ?,make,make,VB,card,you,NN,PRP,
i just sang it to you ?,sing,sang,VBD,it,you,PRP,PRP,vbd
and then she can drive him to school .,drive,drive,VB,him,school,PRP,NN,
what is she saying now to that person ?,say,saying,VBG,what,person,WP,NN,x
do you want to bring this to maggie's house tomorrow ?,bring,bring,VB,this,house,DT,NN,
i just handed it to you what did you do with it .,hand,handed,VBD,it,you,PRP,PRP,vbd
she took it with her to work .,take,took,VBD,it,her,PRP,PRP,vbd
that's what he's saying to your cow .,say,saying,VBG,what,cow,WP,NN,x
oh thank you very much and we're gonna show this to all your other classmates !,show,show,VB,this,classmates,DT,NNS,
do you know who sent them to you ?,send,sent,VBD,them,you,PRP,PRP,vbd
take them to the doctor ?,take,take,VB,them,doctor,PRP,NN,
okay let's push it to the next one .,push,push,VB,it,one,PRP,NN,
well i don't think we need to take the bag to her .,take,take,VB,bag,her,NN,PRP,
and she'll give it to you .,give,give,VB,it,you,PRP,PRP,
give that tape to mom violet ?,give,give,VB,tape,violet,NN,NNP,
do you want to show that to me ?,show,show,VB,that,me,DT,PRP,
what'd you say hi to the stars ?,say,say,VB,what,stars,WP,NNS,
give it to the horses .,give,give,VB,it,horses,PRP,NNS,
they brought it home to you .,bring,brought,VBD,it,you,PRP,PRP,vbd
didn't she give them to you ?,give,give,VB,them,you,PRP,PRP,
well i thought you already sold it to me though .,sell,sold,VBD,it,me,PRP,PRP,vbd
could you you give that to daddy ?,give,give,VB,that,daddy,DT,NNP,
yes we're going to take santa claus to maggie's house .,take,take,VB,claus,house,NNP,NN,
whoa throw it to me ?,throw,throw,VB,it,me,PRP,PRP,
here let me throw it to melissa ?,throw,throw,VB,it,melissa,PRP,NNP,
adam smith now it's your turn to read a story to the class .,read,read,VB,story,class,NN,NN,
you wanna pass it to me ?,pass,pass,VB,it,me,PRP,PRP,
well here i'll hand it to you .,hand,hand,VB,it,you,PRP,PRP,
who gave it to you that ?,give,gave,VBD,it,you,PRP,PRP,vbd
shall we put this away and bring it to maggie's house .,bring,bring,VB,it,house,PRP,NN,
want to carry our food to town in the train ?,carry,carry,VB,food,town,NN,NN,
well i'm here you don't have to write a letter to me .,write,write,VB,letter,me,NN,PRP,
we send all the people to the hospital .,send,send,VBP,people,hospital,NNS,NN,
you can read it to manuela .,read,read,VB,it,manuela,PRP,NNP,
do you want to give one to mommy ?,give,give,VB,one,mommy,CD,NN,
we're gonna have to write a note to ourselves .,write,write,VB,note,ourselves,NN,PRP,
you can hand them to me .,hand,hand,VB,them,me,PRP,PRP,
want me to read it to you .,read,read,VB,it,you,PRP,PRP,
rachel gave it to you ?,give,gave,VBD,it,you,PRP,PRP,vbd
okay can you carry that to the door for me ?,carry,carry,VB,that,door,DT,NN,
you gonna give it to mommy to throw .,give,give,VB,it,mommy,PRP,NN,
okay give it to daddy come here yes .,give,give,VB,it,daddy,PRP,NN,
i thought you were gonna read it to me .,read,read,VB,it,me,PRP,PRP,
come show it to me sarah .,show,show,VB,it,me,PRP,PRP,
who gave them to you ?,give,gave,VBD,them,you,PRP,PRP,vbd
can you give them to me please ?,give,give,VB,them,me,PRP,PRP,
are you gonna read it to them or they gonna read it to themselves .,read,read,VB,it,them,PRP,PRP,
i gave em all to you there's no more honey .,give,gave,VBD,em,you,PRP,PRP,vbd
yes i'll give it to you ?,give,give,VB,it,you,PRP,PRP,
can you read the story to me ?,read,read,VB,story,me,NN,PRP,
with a knife then i'm gonna give it to you to eat ?,give,give,VB,knife,it,NN,PRP,
well you gave them to me .,give,gave,VBD,them,me,PRP,PRP,vbd
no after you bring him to the bank what are you gonna do with him .,bring,bring,VBP,him,bank,PRP,NN,
you sold it to me ?,sell,sold,VBD,it,me,PRP,PRP,vbd
throw it to mommy pick it up and throw it .,throw,throw,VB,it,mommy,PRP,NN,
alright you pick out whatever you'd like and you bring it down here to the cash register okay ?,bring,bring,VBP,it,register,PRP,NN,
susie gave it to you ?,give,gave,VBD,it,you,PRP,PRP,vbd
because we need him to help us take it to the recycling center .,take,take,VB,it,center,PRP,NN,
i'm gonna give it to her for christmas ?,give,give,VB,it,her,PRP,PRP,
and what's he bringing to bed with him .,bring,bringing,VBG,what,bed,WP,NN,x
you have to read it to me okay ?,read,read,VB,it,me,PRP,PRP,
travis's gonna deliver the mail to them ?,deliver,deliver,VB,mail,them,NN,PRP,
i'll watch while you read it to jim ?,read,read,VBP,it,jim,PRP,NNP,
you describe the dolly to me .,describe,describe,VBP,dolly,me,NN,PRP,
you want me to throw it to you .,throw,throw,VB,it,you,PRP,PRP,
yeah you're right though they had to take her to the juicer room .,take,take,VB,her,room,PRP,NN,
what's the policeman saying to the kittie ?,say,saying,VBG,what,kittie,WP,NN,x
throw it to me ?,throw,throw,VB,it,me,PRP,PRP,
okay throw it to me ?,throw,throw,VB,it,me,PRP,PRP,
but one to two if they're really suggesting one to two ounces a week i can't believe that they don't hand this out on a flyer to people .,hand,hand,VB,this,flyer,DT,NN,
adam why don't you pick cromer's pen up and give it to him ?,give,give,VB,it,him,PRP,PRP,
who gave it to you ?,give,gave,VBD,it,you,PRP,PRP,vbd
take it to the living room .,take,take,VB,it,room,PRP,NN,
you read it to me .,read,read,VBD,it,me,PRP,PRP,vbd
now you can throw it to me ?,throw,throw,VB,it,me,PRP,PRP,
you can give them to me cause i'm not keeping them in there anymore .,give,give,VB,them,me,PRP,PRP,
did you say anything to roy while i was gone ?,say,say,VB,anything,roy,NN,NNP,
my mother's girl friend gave it to her .,give,gave,VBD,it,her,PRP,PRP,vbd
is that what i say to you ?,say,say,VBP,what,you,WP,PRP,x
you're right matty we'll have to show him to daddy ?,show,show,VB,him,daddy,PRP,NNP,
well i'll give it back to you if you won't do that .,give,give,VB,it,you,PRP,PRP,
the book uh if you take a mouse to the movies ?,take,take,VBP,mouse,movies,NN,NNS,
you'll send this picture to him .,send,send,VB,picture,him,NN,PRP,
wait a minute let me fix it for you and then i'll give it to you .,give,give,VB,it,you,PRP,PRP,
want me to give it to you ?,give,give,VB,it,you,PRP,PRP,
you gave it to him ?,give,gave,VBD,it,him,PRP,PRP,vbd
if i gave them to you or if maybe i put them somewhere else so just let me know alright have a good day bye ?,give,gave,VBD,them,you,PRP,PRP,vbd
and we'll drive him to the hospital .,drive,drive,VB,him,hospital,PRP,NN,
you wanna bring it over to her to show her ?,bring,bring,VB,it,her,PRP,PRP,
yeah you must have taught it to him .,teach,taught,VBN,it,him,PRP,PRP,vbd
leila gave him to you .,give,gave,VBD,him,you,PRP,PRP,vbd
i wonder what she's saying to them there .,say,saying,VBG,what,them,WP,PRP,x
oh can you come show it show it to me then .,show,show,VB,it,me,PRP,PRP,
i think after you outgrow these pajamas we can give them to chloe ?,give,give,VB,pajamas,them,NNS,PRP,
and who gave it to you ?,give,gave,VBD,it,you,PRP,PRP,vbd
didn't you give some to the ?,give,give,VB,some,the,DT,DT,
where shall we drive the car to ?,drive,drive,VB,where,car,WRB,NN,
you gave it to her to eat ?,give,gave,VBD,it,her,PRP,PRP,vbd
no you can't take travis's little ones cause you already gave them to him ?,give,gave,VBD,them,him,PRP,PRP,vbd
what is she saying to you ?,say,saying,VBG,what,you,WP,PRP,x
okay sit down here and play a minute and let me take melissa to the pottie okay .,take,take,VB,melissa,pottie,NNP,NN,
let's try again to say good night to each other should we .,say,say,VB,night,other,NN,JJ,
maybe you should show these tapes to your mother .,show,show,VB,tapes,mother,NNS,NN,
no grandpa gave it to you ?,give,gave,VBD,it,you,PRP,PRP,vbd
read it to me ?,read,read,VB,it,me,PRP,PRP,
you get the elephant book and you read the story to me .,read,read,VBP,story,me,NN,PRP,
wanna feed water to the hippo again .,feed,feed,VB,water,hippo,NN,NN,
who sent it to you ?,send,sent,VBD,it,you,PRP,PRP,vbd
you're gonna take him to the ambulance ?,take,take,VB,him,ambulance,PRP,NN,
can you bring it to me ?,bring,bring,VB,it,me,PRP,PRP,
will you read the book to me .,read,read,VB,book,me,NN,PRP,
that's what you say to girls .,say,say,VBP,what,girls,WP,NNS,x
okay come here and read it to me ?,read,read,VB,it,me,PRP,PRP,
are you gonna give the medicine to somebody ?,give,give,VB,medicine,somebody,NN,NN,
no i'll be glad if you will hand it to me .,hand,hand,VB,it,me,PRP,PRP,
and then i gave them back to you .,give,gave,VBD,them,you,PRP,PRP,vbd
no i gave them to you .,give,gave,VBD,them,you,PRP,PRP,vbd
we'll have to bring that to maggie .,bring,bring,VB,that,maggie,DT,NNP,
we'll have to take you to the hospital ?,take,take,VB,you,hospital,PRP,NN,
did you take it to the shore ?,take,take,VB,it,shore,PRP,NN,
would you like to read it to me like you do to your sisters ?,read,read,VB,it,me,PRP,PRP,
is that the tiger that miriam gave to you .,give,gave,VBD,that,you,WDT,PRP,x
we we don't have to bring it to the garage ?,bring,bring,VB,it,garage,PRP,NN,
sit up in the chair and i'll give it to you .,give,give,VB,it,you,PRP,PRP,
no throw it to me ?,throw,throw,VB,it,me,PRP,PRP,
let's bring this part to maggie ?,bring,bring,VB,part,maggie,NN,NNP,
i am gonna give it to her .,give,give,VB,it,her,PRP,PRP,
yeah and do you know what i brought in from the car for you to listen to in the tape player ?,bring,brought,VBD,what,car,WP,NN,x
you tell me what he says to you .,say,says,VBZ,what,you,WP,PRP,x
let her give it to you travis .,give,give,VB,it,you,PRP,PRP,
should we bring something to her ?,bring,bring,VB,something,her,NN,PRP,
what did you say to me ?,say,say,VB,what,me,WP,PRP,
now you can give them to robin and he can give them to his mother and we'll both have flowers .,give,give,VB,them,robin,PRP,NNP,
what'd you sell to papa ?,sell,sell,VB,what,papa,WP,NNP,
that car yes what else did we give to a baby .,give,give,VB,car,what,NN,WP,
you brought what to the track ?,bring,brought,VBD,what,track,WP,NN,x
can you read that one to me ?,read,read,VB,one,me,NN,PRP,
what are they saying to each other ?,say,saying,VBG,what,other,WP,JJ,x
tell em what you said to me the other day .,say,said,VBD,what,me,WP,PRP,x
i want to bring some of that stuff from the back yard that's in your wagon over to the garage and also the kittie pool and put it in the garage .,bring,bring,VB,some,stuff,DT,NN,
right and what is she saying to the little boy ?,say,saying,VBG,what,boy,WP,NN,x
melissa throw it to megan .,throw,throw,VB,it,megan,PRP,NNP,
what did nonna give to nina ?,give,give,VB,what,nina,WP,NNP,x
okay let's throw it to megan .,throw,throw,VB,it,megan,PRP,NNP,
aw i was gonna mail something to auntie lizzie too .,mail,mail,VB,something,lizzie,NN,NNP,
did you tell amanda what you said to me yesterday ?,say,said,VBD,what,me,WP,PRP,x
oh no give her back to me .,give,give,VB,her,me,PRP,PRP,
let's give this one to mommy .,give,give,VB,one,mommy,NN,NN,
where are they pulling him to ?,pull,pulling,VBG,where,him,WRB,PRP,x
is that what henry the hippo says to lars the polar bear .,say,says,VBZ,what,lars,WP,NNP,x
marky you give some to ross .,give,give,VBP,some,ross,DT,NNP,
get the baby and bring him to bed .,bring,bring,VB,him,bed,PRP,NN,
but do you wanna read it to sleepy .,read,read,VB,it,sleepy,PRP,NNP,
okay what do you want to take to the movies ?,take,take,VB,what,movies,WP,NNS,x
you can sit up here and read it to them .,read,read,VB,it,them,PRP,PRP,
difficult that's what you said to me !,say,said,VBD,what,me,WP,PRP,x
and what they can say something to daddy because daddy's gotta work too .,say,say,VB,something,daddy,NN,NN,
bring it to daddy daddy can read tiny tiger .,bring,bring,VB,it,daddy,PRP,NN,
