idx,template_id,item,dative,hypothesis_id,hypothesis_item,template_type,template,combo,stimulus,agent,theme,recipient,theme_pronominality,theme_animacy,theme_definiteness,recipient_pronominality,recipient_animacy,recipient_definiteness,length_diff,givenness_template,theme_givenness,recipient_givenness
1784,1,112,pp,112,4,agent-only,agent-only,agent-only_none__nadnai_3,"Do you see Mark ?
<s> Mark [verb] the cat that's on the tree to a big dog .",Mark,the cat that's on the tree,a big dog,noun,animate,definite,noun,animate,indefinite,3,1,new,new
1785,1,112,do,112,5,agent-only,agent-only,agent-only_none__nadnai_3,"Do you see Laura ?
<s> Laura [verb] a little dog the cat that's on the tree .",Laura,the cat that's on the tree,a little dog,noun,animate,definite,noun,animate,indefinite,3,1,new,new
1786,1,112,pp,112,5,agent-only,agent-only,agent-only_none__nadnai_3,"Do you see Laura ?
<s> Laura [verb] the cat that's on the tree to a little dog .",Laura,the cat that's on the tree,a little dog,noun,animate,definite,noun,animate,indefinite,3,1,new,new
1787,1,112,do,112,6,agent-only,agent-only,agent-only_none__nadnai_3,"Do you see Judy ?
<s> Judy [verb] some big girls the cat that's in the hat .",Judy,the cat that's in the hat,some big girls,noun,animate,definite,noun,animate,indefinite,3,1,new,new
1788,1,112,pp,112,6,agent-only,agent-only,agent-only_none__nadnai_3,"Do you see Judy ?
<s> Judy [verb] the cat that's in the hat to some big girls .",Judy,the cat that's in the hat,some big girls,noun,animate,definite,noun,animate,indefinite,3,1,new,new
1789,1,112,do,112,7,agent-only,agent-only,agent-only_none__nadnai_3,"Do you see William ?
<s> William [verb] some cats the horse with the tail .",William,the horse with the tail,some cats,noun,animate,definite,noun,animate,indefinite,3,1,new,new
1790,1,112,pp,112,7,agent-only,agent-only,agent-only_none__nadnai_3,"Do you see William ?
<s> William [verb] the horse with the tail to some cats .",William,the horse with the tail,some cats,noun,animate,definite,noun,animate,indefinite,3,1,new,new
1791,1,112,do,112,8,agent-only,agent-only,agent-only_none__nadnai_3,"Do you see Alex ?
<s> Alex [verb] some little bears the dog who's on a leash .",Alex,the dog who's on a leash,some little bears,noun,animate,definite,noun,animate,indefinite,3,1,new,new
1792,1,112,pp,112,8,agent-only,agent-only,agent-only_none__nadnai_3,"Do you see Alex ?
<s> Alex [verb] the dog who's on a leash to some little bears .",Alex,the dog who's on a leash,some little bears,noun,animate,definite,noun,animate,indefinite,3,1,new,new
1793,1,113,do,113,1,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Alex ?
<s> Alex [verb] some big cats the girl with long hair .",Alex,the girl with long hair,some big cats,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1794,1,113,pp,113,1,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Alex ?
<s> Alex [verb] the girl with long hair to some big cats .",Alex,the girl with long hair,some big cats,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1795,1,113,do,113,2,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Judy ?
<s> Judy [verb] a big boy the horse with a saddle .",Judy,the horse with a saddle,a big boy,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1796,1,113,pp,113,2,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Judy ?
<s> Judy [verb] the horse with a saddle to a big boy .",Judy,the horse with a saddle,a big boy,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1797,1,113,do,113,3,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Sarah ?
<s> Sarah [verb] some big cats the dog with black spots .",Sarah,the dog with black spots,some big cats,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1798,1,113,pp,113,3,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Sarah ?
<s> Sarah [verb] the dog with black spots to some big cats .",Sarah,the dog with black spots,some big cats,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1799,1,113,do,113,4,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Laura ?
<s> Laura [verb] some big boys the bear with a bottle .",Laura,the bear with a bottle,some big boys,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1800,1,113,pp,113,4,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Laura ?
<s> Laura [verb] the bear with a bottle to some big boys .",Laura,the bear with a bottle,some big boys,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1801,1,113,do,113,5,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Mark ?
<s> Mark [verb] some naughty girls the cat with big ears .",Mark,the cat with big ears,some naughty girls,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1802,1,113,pp,113,5,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Mark ?
<s> Mark [verb] the cat with big ears to some naughty girls .",Mark,the cat with big ears,some naughty girls,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1803,1,113,do,113,6,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Michael ?
<s> Michael [verb] a small horse the boy with blue pants .",Michael,the boy with blue pants,a small horse,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1804,1,113,pp,113,6,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Michael ?
<s> Michael [verb] the boy with blue pants to a small horse .",Michael,the boy with blue pants,a small horse,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1805,1,113,do,113,7,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Jenny ?
<s> Jenny [verb] a big horse the bear with a bottle .",Jenny,the bear with a bottle,a big horse,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1806,1,113,pp,113,7,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see Jenny ?
<s> Jenny [verb] the bear with a bottle to a big horse .",Jenny,the bear with a bottle,a big horse,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1807,1,113,do,113,8,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see William ?
<s> William [verb] some small bears the girl with long hair .",William,the girl with long hair,some small bears,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1808,1,113,pp,113,8,agent-only,agent-only,agent-only_none__nadnai_2,"Do you see William ?
<s> William [verb] the girl with long hair to some small bears .",William,the girl with long hair,some small bears,noun,animate,definite,noun,animate,indefinite,2,1,new,new
1809,1,114,do,114,1,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Jenny ?
<s> Jenny [verb] a boy the girl with the blue hat .",Jenny,the girl with the blue hat,a boy,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1810,1,114,pp,114,1,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Jenny ?
<s> Jenny [verb] the girl with the blue hat to a boy .",Jenny,the girl with the blue hat,a boy,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1811,1,114,do,114,2,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Mark ?
<s> Mark [verb] a cat the bear who's on the chair .",Mark,the bear who's on the chair,a cat,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1812,1,114,pp,114,2,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Mark ?
<s> Mark [verb] the bear who's on the chair to a cat .",Mark,the bear who's on the chair,a cat,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1813,1,114,do,114,3,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Alex ?
<s> Alex [verb] a girl the cat that's in the hat .",Alex,the cat that's in the hat,a girl,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1814,1,114,pp,114,3,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Alex ?
<s> Alex [verb] the cat that's in the hat to a girl .",Alex,the cat that's in the hat,a girl,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1815,1,114,do,114,4,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Judy ?
<s> Judy [verb] a cat the dog who's on a leash .",Judy,the dog who's on a leash,a cat,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1816,1,114,pp,114,4,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Judy ?
<s> Judy [verb] the dog who's on a leash to a cat .",Judy,the dog who's on a leash,a cat,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1817,1,114,do,114,5,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Laura ?
<s> Laura [verb] a boy the cat that's on the tree .",Laura,the cat that's on the tree,a boy,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1818,1,114,pp,114,5,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Laura ?
<s> Laura [verb] the cat that's on the tree to a boy .",Laura,the cat that's on the tree,a boy,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1819,1,114,do,114,6,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see William ?
<s> William [verb] a boy the dog with a red head .",William,the dog with a red head,a boy,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1820,1,114,pp,114,6,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see William ?
<s> William [verb] the dog with a red head to a boy .",William,the dog with a red head,a boy,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1821,1,114,do,114,7,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Sarah ?
<s> Sarah [verb] a girl the dog with a red head .",Sarah,the dog with a red head,a girl,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1822,1,114,pp,114,7,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Sarah ?
<s> Sarah [verb] the dog with a red head to a girl .",Sarah,the dog with a red head,a girl,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1823,1,114,do,114,8,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Michael ?
<s> Michael [verb] some girls the bear who's on the chair .",Michael,the bear who's on the chair,some girls,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1824,1,114,pp,114,8,agent-only,agent-only,agent-only_none__nadnai_4,"Do you see Michael ?
<s> Michael [verb] the bear who's on the chair to some girls .",Michael,the bear who's on the chair,some girls,noun,animate,definite,noun,animate,indefinite,4,1,new,new
1825,1,115,do,115,1,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Mark ?
<s> Mark [verb] the little book the bears .",Mark,the bears,the little book,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1826,1,115,pp,115,1,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Mark ?
<s> Mark [verb] the bears to the little book .",Mark,the bears,the little book,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1827,1,115,do,115,2,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Judy ?
<s> Judy [verb] the pencil that's on the radio the horse with the tail .",Judy,the horse with the tail,the pencil that's on the radio,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1828,1,115,pp,115,2,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Judy ?
<s> Judy [verb] the horse with the tail to the pencil that's on the radio .",Judy,the horse with the tail,the pencil that's on the radio,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1829,1,115,do,115,3,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Alex ?
<s> Alex [verb] the little box the dog .",Alex,the dog,the little box,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1830,1,115,pp,115,3,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Alex ?
<s> Alex [verb] the dog to the little box .",Alex,the dog,the little box,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1831,1,115,do,115,4,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Sarah ?
<s> Sarah [verb] the yummy cookies the cats .",Sarah,the cats,the yummy cookies,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1832,1,115,pp,115,4,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Sarah ?
<s> Sarah [verb] the cats to the yummy cookies .",Sarah,the cats,the yummy cookies,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1833,1,115,do,115,5,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Michael ?
<s> Michael [verb] the cup with a red top the bear with a button .",Michael,the bear with a button,the cup with a red top,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1834,1,115,pp,115,5,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Michael ?
<s> Michael [verb] the bear with a button to the cup with a red top .",Michael,the bear with a button,the cup with a red top,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1835,1,115,do,115,6,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Jenny ?
<s> Jenny [verb] the cup with a red top the boy with red hair .",Jenny,the boy with red hair,the cup with a red top,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1836,1,115,pp,115,6,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Jenny ?
<s> Jenny [verb] the boy with red hair to the cup with a red top .",Jenny,the boy with red hair,the cup with a red top,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1837,1,115,do,115,7,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see William ?
<s> William [verb] the little boxes the dogs .",William,the dogs,the little boxes,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1838,1,115,pp,115,7,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see William ?
<s> William [verb] the dogs to the little boxes .",William,the dogs,the little boxes,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1839,1,115,do,115,8,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Laura ?
<s> Laura [verb] the small pencil the bears .",Laura,the bears,the small pencil,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1840,1,115,pp,115,8,agent-only,agent-only,agent-only_none__nadnid_-1,"Do you see Laura ?
<s> Laura [verb] the bears to the small pencil .",Laura,the bears,the small pencil,noun,animate,definite,noun,inanimate,definite,-1,1,new,new
1841,1,116,do,116,1,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Judy ?
<s> Judy [verb] the box with the blocks the baby boys .",Judy,the baby boys,the box with the blocks,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1842,1,116,pp,116,1,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Judy ?
<s> Judy [verb] the baby boys to the box with the blocks .",Judy,the baby boys,the box with the blocks,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1843,1,116,do,116,2,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Laura ?
<s> Laura [verb] the pencil that's on the desk the dog with ears .",Laura,the dog with ears,the pencil that's on the desk,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1844,1,116,pp,116,2,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Laura ?
<s> Laura [verb] the dog with ears to the pencil that's on the desk .",Laura,the dog with ears,the pencil that's on the desk,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1845,1,116,do,116,3,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Sarah ?
<s> Sarah [verb] the big cups daddy .",Sarah,daddy,the big cups,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1846,1,116,pp,116,3,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Sarah ?
<s> Sarah [verb] daddy to the big cups .",Sarah,daddy,the big cups,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1847,1,116,do,116,4,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see William ?
<s> William [verb] the cup with no lid the baby boys .",William,the baby boys,the cup with no lid,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1848,1,116,pp,116,4,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see William ?
<s> William [verb] the baby boys to the cup with no lid .",William,the baby boys,the cup with no lid,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1849,1,116,do,116,5,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Alex ?
<s> Alex [verb] the cup with orange juice the cute cats .",Alex,the cute cats,the cup with orange juice,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1850,1,116,pp,116,5,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Alex ?
<s> Alex [verb] the cute cats to the cup with orange juice .",Alex,the cute cats,the cup with orange juice,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1851,1,116,do,116,6,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Jenny ?
<s> Jenny [verb] the small cups daddy .",Jenny,daddy,the small cups,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1852,1,116,pp,116,6,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Jenny ?
<s> Jenny [verb] daddy to the small cups .",Jenny,daddy,the small cups,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1853,1,116,do,116,7,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Michael ?
<s> Michael [verb] the box with all the food the girl with leaves .",Michael,the girl with leaves,the box with all the food,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1854,1,116,pp,116,7,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Michael ?
<s> Michael [verb] the girl with leaves to the box with all the food .",Michael,the girl with leaves,the box with all the food,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1855,1,116,do,116,8,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Mark ?
<s> Mark [verb] the big boxes daddy .",Mark,daddy,the big boxes,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1856,1,116,pp,116,8,agent-only,agent-only,agent-only_none__nadnid_-2,"Do you see Mark ?
<s> Mark [verb] daddy to the big boxes .",Mark,daddy,the big boxes,noun,animate,definite,noun,inanimate,definite,-2,1,new,new
1857,1,117,do,117,1,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Mark ?
<s> Mark [verb] the book with a rabbit in it daddy .",Mark,daddy,the book with a rabbit in it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1858,1,117,pp,117,1,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Mark ?
<s> Mark [verb] daddy to the book with a rabbit in it .",Mark,daddy,the book with a rabbit in it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1859,1,117,do,117,2,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Laura ?
<s> Laura [verb] the cookie with a hole in it daddy .",Laura,daddy,the cookie with a hole in it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1860,1,117,pp,117,2,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Laura ?
<s> Laura [verb] daddy to the cookie with a hole in it .",Laura,daddy,the cookie with a hole in it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1861,1,117,do,117,3,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Judy ?
<s> Judy [verb] the book with a rabbit in it mommy .",Judy,mommy,the book with a rabbit in it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1862,1,117,pp,117,3,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Judy ?
<s> Judy [verb] mommy to the book with a rabbit in it .",Judy,mommy,the book with a rabbit in it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1863,1,117,do,117,4,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see William ?
<s> William [verb] the ball that looks like an egg daddy .",William,daddy,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1864,1,117,pp,117,4,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see William ?
<s> William [verb] daddy to the ball that looks like an egg .",William,daddy,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1865,1,117,do,117,5,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Alex ?
<s> Alex [verb] the ball with a star on it daddy .",Alex,daddy,the ball with a star on it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1866,1,117,pp,117,5,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Alex ?
<s> Alex [verb] daddy to the ball with a star on it .",Alex,daddy,the ball with a star on it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1867,1,117,do,117,6,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Jenny ?
<s> Jenny [verb] the cookie with a hole in it mommy .",Jenny,mommy,the cookie with a hole in it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1868,1,117,pp,117,6,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Jenny ?
<s> Jenny [verb] mommy to the cookie with a hole in it .",Jenny,mommy,the cookie with a hole in it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1869,1,117,do,117,7,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Michael ?
<s> Michael [verb] the ball that looks like an egg mommy .",Michael,mommy,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1870,1,117,pp,117,7,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Michael ?
<s> Michael [verb] mommy to the ball that looks like an egg .",Michael,mommy,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1871,1,117,do,117,8,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Sarah ?
<s> Sarah [verb] the ball with a star on it mommy .",Sarah,mommy,the ball with a star on it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1872,1,117,pp,117,8,agent-only,agent-only,agent-only_none__nadnid_-6,"Do you see Sarah ?
<s> Sarah [verb] mommy to the ball with a star on it .",Sarah,mommy,the ball with a star on it,noun,animate,definite,noun,inanimate,definite,-6,1,new,new
1873,1,118,do,118,1,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Alex ?
<s> Alex [verb] the ball that looks like an egg the little cats .",Alex,the little cats,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1874,1,118,pp,118,1,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Alex ?
<s> Alex [verb] the little cats to the ball that looks like an egg .",Alex,the little cats,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1875,1,118,do,118,2,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see William ?
<s> William [verb] the toy that's in the basket the dog .",William,the dog,the toy that's in the basket,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1876,1,118,pp,118,2,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see William ?
<s> William [verb] the dog to the toy that's in the basket .",William,the dog,the toy that's in the basket,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1877,1,118,do,118,3,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Judy ?
<s> Judy [verb] the cookie with m and ms the horse .",Judy,the horse,the cookie with m and ms,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1878,1,118,pp,118,3,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Judy ?
<s> Judy [verb] the horse to the cookie with m and ms .",Judy,the horse,the cookie with m and ms,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1879,1,118,do,118,4,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Michael ?
<s> Michael [verb] the pencil that's on the couch the horses .",Michael,the horses,the pencil that's on the couch,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1880,1,118,pp,118,4,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Michael ?
<s> Michael [verb] the horses to the pencil that's on the couch .",Michael,the horses,the pencil that's on the couch,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1881,1,118,do,118,5,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Sarah ?
<s> Sarah [verb] the cup with a red top the girl .",Sarah,the girl,the cup with a red top,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1882,1,118,pp,118,5,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Sarah ?
<s> Sarah [verb] the girl to the cup with a red top .",Sarah,the girl,the cup with a red top,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1883,1,118,do,118,6,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Jenny ?
<s> Jenny [verb] the ball with a star on it the cute dogs .",Jenny,the cute dogs,the ball with a star on it,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1884,1,118,pp,118,6,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Jenny ?
<s> Jenny [verb] the cute dogs to the ball with a star on it .",Jenny,the cute dogs,the ball with a star on it,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1885,1,118,do,118,7,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Mark ?
<s> Mark [verb] the box with stuff in it the dog .",Mark,the dog,the box with stuff in it,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1886,1,118,pp,118,7,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Mark ?
<s> Mark [verb] the dog to the box with stuff in it .",Mark,the dog,the box with stuff in it,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1887,1,118,do,118,8,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Laura ?
<s> Laura [verb] the toy that's in the bag the cats .",Laura,the cats,the toy that's in the bag,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1888,1,118,pp,118,8,agent-only,agent-only,agent-only_none__nadnid_-4,"Do you see Laura ?
<s> Laura [verb] the cats to the toy that's in the bag .",Laura,the cats,the toy that's in the bag,noun,animate,definite,noun,inanimate,definite,-4,1,new,new
1889,1,119,do,119,1,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Michael ?
<s> Michael [verb] the ball that looks like an egg the girl .",Michael,the girl,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1890,1,119,pp,119,1,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Michael ?
<s> Michael [verb] the girl to the ball that looks like an egg .",Michael,the girl,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1891,1,119,do,119,2,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Judy ?
<s> Judy [verb] the ball that looks like an egg the horse .",Judy,the horse,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1892,1,119,pp,119,2,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Judy ?
<s> Judy [verb] the horse to the ball that looks like an egg .",Judy,the horse,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1893,1,119,do,119,3,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Mark ?
<s> Mark [verb] the ball that looks like an egg the girls .",Mark,the girls,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1894,1,119,pp,119,3,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Mark ?
<s> Mark [verb] the girls to the ball that looks like an egg .",Mark,the girls,the ball that looks like an egg,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1895,1,119,do,119,4,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Sarah ?
<s> Sarah [verb] the box with all the food mommy .",Sarah,mommy,the box with all the food,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1896,1,119,pp,119,4,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Sarah ?
<s> Sarah [verb] mommy to the box with all the food .",Sarah,mommy,the box with all the food,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1897,1,119,do,119,5,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Laura ?
<s> Laura [verb] the toy that's in the bag daddy .",Laura,daddy,the toy that's in the bag,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1898,1,119,pp,119,5,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Laura ?
<s> Laura [verb] daddy to the toy that's in the bag .",Laura,daddy,the toy that's in the bag,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
1899,1,119,do,119,6,agent-only,agent-only,agent-only_none__nadnid_-5,"Do you see Alex ?
<s> Alex [verb] the toy that's in the basket mommy .",Alex,mommy,the toy that's in the basket,noun,animate,definite,noun,inanimate,definite,-5,1,new,new
